,Time,Heart
0,00:00:04,68
1,00:00:14,70
2,00:00:19,71
3,00:00:24,72
4,00:00:34,73
5,00:00:49,73
6,00:00:54,72
7,00:01:09,72
8,00:01:14,71
9,00:01:24,70
10,00:01:34,71
11,00:01:39,72
12,00:01:44,73
13,00:01:49,74
14,00:01:54,75
15,00:01:59,76
16,00:02:04,77
17,00:02:14,76
18,00:02:19,75
19,00:02:24,76
20,00:02:29,77
21,00:02:34,78
22,00:02:39,79
23,00:02:54,79
24,00:02:59,80
25,00:03:04,78
26,00:03:09,70
27,00:03:24,70
28,00:03:29,73
29,00:03:34,74
30,00:03:44,75
31,00:03:49,76
32,00:03:54,79
33,00:04:09,79
34,00:04:19,80
35,00:04:29,78
36,00:04:34,75
37,00:04:39,67
38,00:04:44,66
39,00:04:59,66
40,00:05:04,67
41,00:05:09,67
42,00:05:14,66
43,00:05:19,63
44,00:05:24,64
45,00:05:29,69
46,00:05:34,74
47,00:05:39,75
48,00:05:44,76
49,00:05:49,76
50,00:05:54,78
51,00:05:59,77
52,00:06:07,77
53,00:06:17,76
54,00:06:22,73
55,00:06:27,69
56,00:06:32,65
57,00:06:37,66
58,00:06:42,67
59,00:06:57,67
60,00:07:12,67
61,00:07:17,66
62,00:07:27,66
63,00:07:32,65
64,00:07:37,64
65,00:07:47,65
66,00:07:57,66
67,00:08:02,67
68,00:08:07,68
69,00:08:12,69
70,00:08:17,77
71,00:08:22,80
72,00:08:27,78
73,00:08:42,84
74,00:08:47,83
75,00:08:57,82
76,00:09:02,81
77,00:09:07,74
78,00:09:12,73
79,00:09:17,72
80,00:09:27,71
81,00:09:42,72
82,00:09:47,74
83,00:09:52,72
84,00:09:57,64
85,00:10:02,63
86,00:10:17,63
87,00:10:22,65
88,00:10:27,68
89,00:10:32,71
90,00:10:37,74
91,00:10:42,75
92,00:10:52,74
93,00:10:57,75
94,00:11:07,76
95,00:11:12,77
96,00:11:17,78
97,00:11:22,70
98,00:11:27,66
99,00:11:32,65
100,00:11:37,69
101,00:11:42,73
102,00:11:47,70
103,00:11:57,71
104,00:12:07,72
105,00:12:12,72
106,00:12:17,63
107,00:12:22,62
108,00:12:27,63
109,00:12:32,68
110,00:12:37,72
111,00:12:42,71
112,00:12:52,70
113,00:12:57,65
114,00:13:02,64
115,00:13:07,63
116,00:13:22,63
117,00:13:27,64
118,00:13:32,66
119,00:13:42,67
120,00:13:52,68
121,00:13:57,64
122,00:14:02,65
123,00:14:07,67
124,00:14:17,68
125,00:14:22,69
126,00:14:27,69
127,00:14:32,68
128,00:14:37,69
129,00:14:42,70
130,00:14:57,70
131,00:15:02,71
132,00:15:17,70
133,00:15:22,67
134,00:15:32,66
135,00:15:47,66
136,00:15:52,69
137,00:15:57,72
138,00:16:12,72
139,00:16:17,73
140,00:16:22,72
141,00:16:27,73
142,00:16:32,72
143,00:16:47,72
144,00:16:52,68
145,00:17:02,67
146,00:17:12,68
147,00:17:17,69
148,00:17:22,70
