,Time,Heart
0,00:00:02,86
1,00:00:17,86
2,00:00:32,86
3,00:00:47,86
4,00:01:02,86
5,00:01:17,86
6,00:01:32,86
7,00:01:42,87
8,00:01:57,87
9,00:02:12,87
10,00:02:22,88
11,00:02:37,88
12,00:02:52,88
13,00:02:57,85
14,00:03:12,85
15,00:03:38,87
16,00:03:53,92
17,00:03:58,96
18,00:04:13,96
19,00:04:23,100
20,00:04:33,96
21,00:04:38,95
22,00:04:43,94
23,00:04:53,93
24,00:04:58,92
25,00:05:08,94
26,00:05:13,96
27,00:05:18,101
28,00:05:23,102
29,00:05:28,97
30,00:05:33,93
31,00:05:38,89
32,00:05:43,88
33,00:05:48,87
34,00:06:03,87
35,00:06:08,86
36,00:06:23,86
37,00:06:38,87
38,00:06:48,89
39,00:06:58,88
40,00:07:07,87
41,00:07:17,87
42,00:07:32,88
43,00:07:42,87
44,00:07:47,87
45,00:07:52,88
46,00:08:07,89
47,00:08:17,88
48,00:08:32,88
49,00:08:37,87
50,00:08:42,85
51,00:08:47,84
52,00:08:52,84
53,00:09:02,83
54,00:09:12,84
55,00:09:22,85
56,00:09:37,86
57,00:09:42,86
58,00:09:47,85
59,00:10:02,87
60,00:10:07,86
61,00:10:12,84
62,00:10:17,83
63,00:10:22,86
64,00:10:32,85
65,00:10:37,83
66,00:10:47,84
67,00:10:52,84
68,00:10:57,85
69,00:11:02,85
70,00:11:07,84
71,00:11:22,83
72,00:11:27,83
73,00:11:37,84
74,00:11:42,85
75,00:11:47,87
76,00:11:52,95
77,00:11:57,102
78,00:12:02,106
79,00:12:07,101
80,00:12:12,102
81,00:12:27,103
82,00:12:37,92
83,00:12:42,88
84,00:12:47,88
85,00:12:52,85
86,00:12:57,80
87,00:13:02,79
88,00:13:07,81
89,00:13:12,80
90,00:13:17,79
91,00:13:22,78
92,00:13:28,83
93,00:13:43,85
94,00:13:48,90
95,00:13:53,83
96,00:13:58,82
97,00:14:13,82
98,00:14:18,83
99,00:14:23,89
100,00:14:28,91
101,00:14:38,90
102,00:14:48,89
103,00:14:53,86
104,00:14:58,85
105,00:15:03,84
106,00:15:08,82
107,00:15:13,79
108,00:15:18,82
109,00:15:23,83
110,00:15:28,85
111,00:15:33,84
112,00:15:38,83
113,00:15:43,82
114,00:15:48,79
115,00:15:58,78
116,00:16:08,77
117,00:16:23,78
118,00:16:28,77
119,00:16:33,79
120,00:16:38,80
121,00:16:43,81
122,00:16:48,82
123,00:16:58,81
124,00:17:03,80
125,00:17:08,83
126,00:17:13,84
127,00:17:18,85
128,00:17:23,86
129,00:17:28,87
130,00:17:33,86
131,00:17:38,85
132,00:17:53,87
133,00:18:08,87
134,00:18:13,112
135,00:18:18,114
136,00:18:28,112
137,00:18:43,112
138,00:18:48,88
139,00:18:53,86
140,00:18:59,86
141,00:19:04,85
142,00:19:09,84
143,00:19:14,85
144,00:19:19,82
145,00:19:24,81
146,00:19:34,82
147,00:19:49,85
148,00:19:54,88
149,00:19:59,87
150,00:20:04,85
151,00:20:09,85
152,00:20:14,84
153,00:20:29,84
154,00:20:34,86
155,00:20:39,87
156,00:20:44,86
157,00:20:59,86
158,00:21:09,85
159,00:21:14,85
160,00:21:24,85
161,00:21:34,86
162,00:21:44,80
163,00:21:49,79
164,00:22:04,80
165,00:22:19,80
166,00:22:24,80
167,00:22:29,81
168,00:22:44,82
169,00:22:54,82
170,00:22:59,83
171,00:23:14,83
172,00:23:24,82
173,00:23:34,83
174,00:23:39,82
175,00:23:44,83
176,00:23:59,84
177,00:24:04,87
178,00:24:19,85
179,00:24:34,85
180,00:24:44,86
181,00:24:54,85
182,00:25:09,85
183,00:25:24,85
184,00:25:39,85
185,00:25:44,87
186,00:25:59,87
187,00:26:14,87
188,00:26:24,86
189,00:26:34,86
190,00:26:39,87
191,00:26:54,87
192,00:26:59,87
193,00:27:04,92
194,00:27:09,94
195,00:27:24,94
196,00:27:29,95
197,00:27:44,95
198,00:27:49,94
199,00:27:54,92
200,00:27:59,91
201,00:28:04,90
202,00:28:09,89
203,00:28:14,87
204,00:28:19,85
205,00:28:24,84
206,00:28:39,84
207,00:28:54,83
208,00:28:59,84
209,00:29:04,86
210,00:29:09,85
211,00:29:14,84
212,00:29:29,84
213,00:29:34,83
214,00:29:39,84
215,00:29:44,85
216,00:29:54,86
217,00:29:59,85
218,00:30:04,84
219,00:30:19,84
220,00:30:25,82
221,00:30:30,81
222,00:30:40,80
223,00:30:45,78
224,00:30:50,76
225,00:30:55,73
226,00:31:00,72
227,00:31:05,74
228,00:31:10,77
229,00:31:25,77
230,00:31:35,76
231,00:31:40,76
232,00:31:45,77
233,00:31:50,76
234,00:32:05,76
235,00:33:38,78
236,00:33:53,78
237,00:34:08,78
238,00:34:18,77
239,00:34:23,76
240,00:34:38,75
241,00:34:48,78
242,00:35:03,78
243,00:35:08,79
244,00:35:23,80
245,00:35:38,80
246,00:35:53,80
247,00:36:08,80
248,00:36:13,80
249,00:36:28,77
250,00:36:38,76
251,00:36:53,76
252,00:37:08,75
253,00:37:13,74
254,00:37:18,75
255,00:37:28,76
256,00:37:33,77
257,00:37:38,78
258,00:37:48,77
259,00:37:58,78
260,00:38:03,77
261,00:38:08,76
262,00:38:13,75
263,00:38:28,76
264,00:38:43,78
265,00:38:58,78
266,00:39:13,78
267,00:39:23,79
268,00:39:28,78
269,00:39:38,77
270,00:39:43,78
271,00:39:58,78
272,00:40:08,77
273,00:40:23,77
274,00:40:38,78
275,00:40:43,82
276,00:40:48,79
277,00:41:03,79
278,00:41:08,78
279,00:41:13,76
280,00:41:28,76
281,00:41:43,76
282,00:41:48,77
283,00:41:58,78
284,00:42:13,78
285,00:42:28,78
286,00:42:33,78
287,00:42:43,77
288,00:42:48,76
289,00:42:53,74
290,00:43:08,75
291,00:43:13,76
292,00:43:28,76
293,00:43:43,76
294,00:43:58,76
295,00:44:13,76
296,00:44:28,76
297,00:44:43,76
298,00:44:58,77
299,00:45:13,77
300,00:45:18,77
301,00:45:23,78
302,00:45:38,77
303,00:45:43,78
304,00:45:53,80
305,00:45:58,83
306,00:46:08,80
307,00:46:18,78
308,00:46:23,78
309,00:46:33,79
310,00:46:48,80
311,00:46:53,79
312,00:46:58,79
313,00:47:03,78
314,00:47:08,79
315,00:47:13,78
316,00:47:18,78
317,00:47:33,78
318,00:47:43,79
319,00:47:48,85
320,00:47:53,82
321,00:47:58,81
322,00:48:03,78
323,00:48:18,78
324,00:48:28,84
325,00:48:33,89
326,00:48:38,86
327,00:48:43,82
328,00:48:48,76
329,00:48:53,75
330,00:48:58,74
331,00:49:03,76
332,00:49:08,76
333,00:49:13,78
334,00:49:28,78
335,00:49:43,78
336,00:49:48,79
337,00:49:53,80
338,00:50:03,79
339,00:50:08,78
340,00:50:13,79
341,00:50:23,80
342,00:50:28,81
343,00:50:33,81
344,00:50:43,79
345,00:50:48,78
346,00:50:53,75
347,00:50:58,73
348,00:51:03,71
349,00:51:18,71
