,Time,Heart
0,00:00:00,107
1,00:00:05,105
2,00:00:10,106
3,00:00:15,109
4,00:00:20,108
5,00:00:25,106
6,00:00:30,107
7,00:00:40,105
8,00:00:45,102
9,00:00:50,103
10,00:00:55,104
11,00:01:10,103
12,00:01:25,103
13,00:01:35,101
14,00:01:45,100
15,00:01:50,101
16,00:01:55,100
17,00:02:00,97
18,00:02:05,96
19,00:02:10,97
20,00:02:15,98
21,00:02:20,100
22,00:02:25,98
23,00:02:30,96
24,00:02:35,94
25,00:02:40,90
26,00:02:45,88
27,00:02:50,86
28,00:02:55,82
29,00:03:00,80
30,00:03:05,82
31,00:03:11,84
32,00:03:16,85
33,00:03:21,86
34,00:03:26,89
35,00:03:31,89
36,00:03:41,93
37,00:03:46,94
38,00:03:51,94
39,00:04:01,95
40,00:04:11,93
41,00:04:16,90
42,00:04:21,89
43,00:04:26,90
44,00:04:36,93
45,00:04:46,92
46,00:04:51,81
47,00:04:56,79
48,00:05:01,75
49,00:05:16,76
50,00:05:21,68
51,00:05:31,72
52,00:05:36,72
53,00:05:41,69
54,00:05:46,68
55,00:05:51,66
56,00:06:01,67
57,00:06:06,67
58,00:06:11,66
59,00:06:16,68
60,00:06:26,69
61,00:06:31,70
62,00:06:36,71
63,00:06:41,73
64,00:06:46,74
65,00:06:51,75
66,00:07:06,75
67,00:07:11,78
68,00:07:16,90
69,00:07:21,90
70,00:07:26,89
71,00:07:31,88
72,00:07:36,90
73,00:07:41,89
74,00:07:46,90
75,00:07:51,89
76,00:07:56,87
77,00:08:01,82
78,00:08:06,80
79,00:08:11,79
80,00:08:16,79
81,00:08:31,79
82,00:08:37,69
83,00:08:42,70
84,00:08:47,72
85,00:08:52,73
86,00:08:57,75
87,00:09:02,81
88,00:09:07,79
89,00:09:12,77
90,00:09:17,76
91,00:09:22,75
92,00:09:27,74
93,00:09:37,73
94,00:09:42,73
95,00:09:47,73
96,00:09:52,72
97,00:09:57,72
98,00:10:02,73
99,00:10:12,72
100,00:10:17,69
101,00:10:22,68
102,00:10:27,69
103,00:10:32,70
104,00:10:37,71
105,00:10:42,72
106,00:10:47,75
107,00:10:52,77
108,00:11:02,74
109,00:11:07,71
110,00:11:12,70
111,00:11:17,71
112,00:11:22,70
113,00:11:27,69
114,00:11:42,69
115,00:11:52,71
116,00:11:57,78
117,00:12:02,80
118,00:12:07,77
119,00:12:17,76
120,00:12:22,75
121,00:12:27,74
122,00:12:32,73
123,00:12:37,71
124,00:12:42,70
