,Time,Heart
0,00:00:04,96
1,00:00:09,93
2,00:00:14,88
3,00:00:19,88
4,00:00:24,91
5,00:00:34,90
6,00:00:39,87
7,00:00:44,86
8,00:00:49,85
9,00:00:54,84
10,00:00:59,82
11,00:01:04,83
12,00:01:09,86
13,00:01:14,87
14,00:01:19,90
15,00:01:24,89
16,00:01:29,87
17,00:01:34,86
18,00:01:44,87
19,00:01:54,88
20,00:01:59,87
21,00:02:09,87
22,00:02:14,85
23,00:02:19,88
24,00:02:24,93
25,00:02:29,91
26,00:02:34,88
27,00:02:44,89
28,00:02:49,91
29,00:02:54,93
30,00:03:04,95
31,00:03:09,94
32,00:03:14,92
33,00:03:19,93
34,00:03:24,90
35,00:03:29,88
36,00:03:44,87
37,00:03:59,92
38,00:04:04,94
39,00:04:19,94
40,00:04:29,95
41,00:04:34,94
42,00:04:44,87
43,00:04:49,86
44,00:04:54,87
45,00:04:59,89
46,00:05:04,88
47,00:05:09,83
48,00:05:14,84
49,00:05:19,85
50,00:05:24,89
51,00:05:29,95
52,00:05:34,97
53,00:05:39,97
54,00:05:44,95
55,00:05:49,92
56,00:05:54,90
57,00:06:09,91
58,00:06:14,88
59,00:06:19,87
60,00:06:29,86
61,00:06:44,86
62,00:06:49,87
63,00:06:54,91
64,00:06:59,93
65,00:07:04,87
66,00:07:09,85
67,00:07:24,85
68,00:07:29,88
69,00:07:44,88
70,00:07:49,84
71,00:07:54,86
72,00:07:59,85
73,00:08:04,87
74,00:08:09,86
75,00:08:14,85
76,00:08:19,85
77,00:08:24,84
78,00:08:30,85
79,00:08:35,86
80,00:08:40,84
81,00:08:55,84
82,00:09:00,96
83,00:09:05,97
84,00:09:20,99
85,00:09:25,100
86,00:09:35,101
87,00:09:40,102
88,00:09:55,102
89,00:10:00,98
90,00:10:15,97
91,00:10:20,95
92,00:10:25,96
93,00:10:30,98
94,00:10:35,101
95,00:10:40,102
96,00:10:45,103
97,00:10:50,105
98,00:11:05,105
99,00:11:10,104
100,00:11:25,103
101,00:11:30,104
102,00:11:35,100
103,00:11:40,97
