,Time,Heart
0,00:00:02,90
1,00:00:07,89
2,00:00:12,88
3,00:00:27,90
4,00:00:32,92
5,00:00:37,92
6,00:00:47,94
7,00:00:52,95
8,00:01:02,94
9,00:01:07,92
10,00:01:12,91
11,00:01:17,93
12,00:01:27,90
13,00:01:37,92
14,00:01:47,91
15,00:01:52,91
16,00:02:02,90
17,00:02:12,91
18,00:02:27,91
19,00:02:32,91
20,00:02:42,92
21,00:02:52,93
22,00:02:57,92
23,00:03:02,94
24,00:03:07,95
25,00:03:12,96
26,00:03:17,95
27,00:03:22,92
28,00:03:32,91
29,00:03:37,91
30,00:03:52,90
31,00:03:57,89
32,00:04:02,91
33,00:04:07,92
34,00:04:12,90
35,00:04:17,86
36,00:04:22,84
37,00:04:27,83
38,00:04:32,82
39,00:04:42,79
40,00:04:47,73
41,00:04:52,71
42,00:04:57,70
43,00:05:07,71
44,00:05:12,70
45,00:05:17,66
46,00:05:22,64
47,00:05:27,62
48,00:05:32,60
49,00:05:42,63
50,00:05:47,68
51,00:05:52,69
52,00:06:02,67
53,00:06:07,64
54,00:06:17,65
55,00:06:32,65
56,00:06:37,66
57,00:06:42,67
58,00:06:47,68
59,00:06:52,64
60,00:07:07,64
61,00:07:12,66
62,00:07:22,68
63,00:07:27,69
64,00:07:42,69
65,00:07:47,77
66,00:07:52,77
67,00:07:57,73
68,00:08:02,70
69,00:08:07,68
70,00:08:13,66
71,00:08:18,63
72,00:08:23,64
73,00:08:28,65
74,00:08:33,63
75,00:08:38,63
76,00:08:48,62
77,00:09:03,61
78,00:09:08,59
79,00:09:13,60
80,00:09:18,62
81,00:09:23,63
82,00:09:28,63
83,00:09:33,64
84,00:09:43,65
85,00:09:48,64
86,00:09:53,65
87,00:09:58,66
88,00:10:03,68
89,00:10:08,67
90,00:10:13,69
91,00:10:18,70
92,00:10:28,70
93,00:10:43,70
94,00:10:48,71
95,00:11:03,71
96,00:11:08,75
97,00:11:13,77
98,00:11:18,77
99,00:11:23,76
100,00:11:28,74
101,00:11:33,73
102,00:11:38,74
103,00:11:43,73
104,00:11:48,73
105,00:11:53,74
106,00:11:58,72
107,00:12:08,72
108,00:12:18,74
109,00:12:23,77
110,00:12:28,78
111,00:12:33,78
112,00:12:48,78
113,00:13:03,78
114,00:13:18,78
115,00:13:33,80
116,00:13:38,85
117,00:13:43,80
118,00:13:48,78
119,00:13:53,76
120,00:13:58,75
121,00:14:03,73
122,00:14:08,72
123,00:14:17,72
124,00:14:22,71
125,00:14:32,72
126,00:14:42,71
127,00:14:47,71
128,00:14:57,69
129,00:15:02,69
130,00:15:07,71
131,00:15:12,72
132,00:15:27,71
133,00:15:37,72
134,00:15:52,72
135,00:16:07,73
136,00:16:12,72
137,00:16:22,71
138,00:16:27,71
139,00:16:32,72
140,00:16:47,72
141,00:16:52,77
142,00:17:07,77
143,00:17:22,77
144,00:17:27,76
145,00:17:42,76
146,00:17:47,74
147,00:17:53,75
148,00:18:03,76
149,00:18:13,75
150,00:18:28,75
151,00:18:43,75
152,00:18:48,77
153,00:18:53,79
154,00:18:58,78
155,00:19:03,78
156,00:19:13,76
157,00:19:18,71
158,00:19:23,70
159,00:19:28,74
160,00:19:33,80
161,00:19:38,77
