,Time,Heart
0,00:00:02,92
1,00:00:07,93
2,00:00:12,94
3,00:00:22,93
4,00:00:27,92
5,00:00:32,93
6,00:00:42,94
7,00:00:47,88
8,00:00:52,88
9,00:00:57,87
10,00:01:02,85
11,00:01:07,82
12,00:01:17,83
13,00:01:22,82
14,00:01:27,81
15,00:01:32,83
16,00:01:37,84
17,00:01:42,83
18,00:01:52,82
19,00:02:07,83
20,00:02:17,82
21,00:02:27,81
22,00:02:37,82
23,00:02:52,83
24,00:03:07,83
25,00:03:17,81
26,00:03:22,76
27,00:03:27,75
28,00:03:42,75
29,00:03:47,78
30,00:03:57,79
31,00:04:02,77
32,00:04:07,78
33,00:04:12,79
34,00:04:17,80
35,00:04:22,82
36,00:04:32,81
37,00:04:42,82
38,00:04:52,83
39,00:04:58,83
40,00:05:03,81
41,00:05:08,77
42,00:05:13,77
43,00:05:23,79
44,00:05:28,80
45,00:05:43,81
46,00:05:48,82
47,00:05:53,83
48,00:05:58,78
49,00:06:03,75
50,00:06:08,76
51,00:06:13,79
52,00:06:18,81
53,00:06:28,80
54,00:06:43,80
55,00:06:58,81
56,00:07:03,77
57,00:07:08,74
58,00:07:18,75
59,00:07:28,75
60,00:07:38,77
61,00:07:43,76
62,00:07:48,73
63,00:08:03,73
64,00:08:07,72
65,00:08:12,74
66,00:08:17,78
67,00:08:27,76
68,00:08:32,73
69,00:08:37,72
70,00:08:42,71
71,00:08:57,71
72,00:09:02,72
73,00:09:07,73
74,00:09:22,73
75,00:09:32,74
76,00:09:47,74
77,00:09:52,70
78,00:09:57,63
79,00:10:02,64
80,00:10:07,65
81,00:10:17,68
82,00:10:27,68
83,00:10:37,71
84,00:10:42,79
85,00:10:47,80
86,00:10:52,79
87,00:11:07,76
88,00:11:12,75
89,00:11:17,76
90,00:11:22,79
91,00:11:32,77
92,00:11:47,77
93,00:11:52,78
94,00:12:07,78
95,00:12:12,79
96,00:12:17,81
97,00:12:32,81
98,00:12:47,81
99,00:13:02,83
100,00:13:07,93
101,00:13:12,94
102,00:13:17,93
103,00:13:22,91
104,00:13:27,90
105,00:13:37,89
106,00:13:47,88
107,00:13:52,87
108,00:14:07,88
109,00:14:17,87
110,00:14:22,85
111,00:14:27,82
112,00:14:32,79
113,00:14:47,79
114,00:15:02,80
115,00:15:03,81
116,00:15:13,82
117,00:15:18,84
118,00:15:23,85
119,00:15:38,86
120,00:15:43,87
121,00:15:48,96
122,00:15:53,97
123,00:15:58,95
124,00:16:03,91
125,00:16:08,89
126,00:16:13,88
127,00:16:23,87
128,00:16:38,87
129,00:16:48,86
130,00:16:53,85
131,00:17:08,86
132,00:17:13,88
133,00:17:18,87
134,00:17:33,89
135,00:17:43,82
136,00:17:58,82
137,00:18:03,84
138,00:18:08,85
139,00:18:18,83
140,00:18:33,83
141,00:18:38,83
142,00:18:43,84
143,00:18:58,83
144,00:19:08,86
145,00:19:23,85
146,00:19:28,84
147,00:19:33,85
148,00:19:48,85
149,00:19:53,84
150,00:19:58,83
151,00:20:08,84
152,00:20:13,83
153,00:20:23,84
154,00:20:28,88
155,00:20:33,89
156,00:20:43,93
157,00:20:48,102
158,00:20:53,101
159,00:21:03,89
160,00:21:08,87
161,00:21:13,85
162,00:21:18,84
163,00:21:28,83
164,00:21:33,82
165,00:21:48,82
166,00:21:53,82
167,00:21:58,83
168,00:22:03,82
169,00:22:18,82
170,00:22:33,84
171,00:22:38,82
172,00:22:43,80
173,00:22:53,81
174,00:22:58,80
175,00:23:03,78
176,00:23:08,77
177,00:23:18,78
178,00:23:33,78
179,00:23:43,77
180,00:23:48,78
181,00:23:53,77
182,00:24:08,77
183,00:24:18,78
184,00:24:28,82
185,00:24:33,83
186,00:24:38,81
187,00:24:53,81
188,00:24:58,76
189,00:25:03,72
190,00:25:18,72
191,00:25:23,81
192,00:25:29,81
193,00:25:39,80
194,00:25:54,84
195,00:25:59,93
196,00:26:04,94
197,00:26:09,93
198,00:26:14,91
199,00:26:19,89
200,00:26:34,89
201,00:26:39,88
202,00:26:54,88
203,00:27:09,88
204,00:27:24,89
205,00:27:34,89
206,00:27:49,89
207,00:27:59,90
208,00:28:04,89
209,00:28:09,89
210,00:28:14,88
211,00:28:19,87
212,00:28:29,86
213,00:28:34,84
214,00:28:39,83
215,00:28:54,85
216,00:28:59,86
217,00:29:09,87
218,00:29:14,91
219,00:29:24,90
220,00:29:39,90
221,00:29:44,91
222,00:29:54,90
223,00:30:04,89
224,00:30:14,87
225,00:30:24,93
226,00:30:29,96
227,00:30:34,95
228,00:30:49,95
229,00:30:54,95
230,00:31:09,91
231,00:31:14,87
232,00:31:19,85
233,00:31:29,84
234,00:31:44,84
235,00:31:49,82
236,00:31:54,81
237,00:31:59,80
238,00:32:04,86
239,00:32:09,92
240,00:32:24,92
241,00:32:29,93
242,00:32:39,94
243,00:32:44,91
244,00:32:59,91
245,00:33:04,90
246,00:33:09,89
247,00:33:14,89
248,00:33:19,88
249,00:33:29,88
250,00:33:39,88
251,00:33:54,88
252,00:34:09,86
253,00:34:14,76
254,00:34:19,76
255,00:34:34,77
256,00:34:49,77
257,00:35:04,77
258,00:35:19,78
259,00:35:34,78
260,00:35:39,79
261,00:35:49,81
262,00:35:54,80
263,00:36:09,80
264,00:36:19,79
265,00:36:24,78
266,00:36:39,78
267,00:36:44,79
268,00:36:59,79
269,00:37:09,78
270,00:37:14,75
271,00:37:19,75
272,00:37:29,76
273,00:37:34,75
274,00:37:49,76
275,00:37:54,77
276,00:38:09,77
277,00:38:14,76
278,00:38:24,78
279,00:38:29,76
280,00:38:44,76
281,00:38:54,77
282,00:38:59,78
283,00:39:04,79
284,00:39:09,81
285,00:39:24,80
286,00:39:39,80
287,00:39:54,80
288,00:40:09,80
289,00:40:19,78
290,00:40:24,77
291,00:40:34,78
292,00:40:39,79
293,00:40:49,78
294,00:40:59,77
295,00:41:04,76
296,00:41:09,76
297,00:41:19,75
298,00:41:24,75
299,00:41:39,75
300,00:41:49,76
301,00:41:54,75
302,00:42:09,75
303,00:42:24,76
304,00:42:29,77
305,00:42:44,78
306,00:42:59,80
307,00:43:04,81
308,00:43:09,80
309,00:43:19,81
310,00:43:24,91
311,00:43:34,90
312,00:43:39,84
313,00:43:54,84
314,00:44:09,84
315,00:44:24,84
316,00:44:29,78
317,00:44:34,74
318,00:44:49,74
319,00:44:59,75
320,00:45:09,76
321,00:45:24,76
322,00:45:30,77
323,00:45:35,82
324,00:45:40,93
325,00:45:45,88
326,00:45:50,86
327,00:46:05,86
328,00:46:15,87
329,00:46:20,85
330,00:46:25,80
331,00:46:40,80
332,00:46:45,80
333,00:46:50,81
334,00:46:55,80
335,00:47:00,79
336,00:47:15,79
337,00:47:20,80
338,00:47:35,80
339,00:47:40,79
340,00:47:45,77
341,00:47:50,75
342,00:48:05,75
343,00:48:10,76
344,00:48:20,73
345,00:48:25,71
346,00:48:40,71
347,00:48:55,73
348,00:49:00,76
349,00:49:05,77
350,00:49:10,77
351,00:49:25,77
352,00:49:40,77
353,00:49:45,76
354,00:49:50,75
355,00:50:05,75
356,00:50:20,75
357,00:50:35,75
358,00:50:45,75
359,00:50:50,76
360,00:50:55,77
361,00:51:05,78
362,00:51:20,78
363,00:51:30,79
364,00:51:45,80
365,00:51:50,78
366,00:51:55,77
367,00:52:00,78
368,00:52:05,84
369,00:52:10,89
370,00:52:15,90
371,00:52:20,89
372,00:52:25,90
373,00:52:35,86
374,00:52:50,86
375,00:52:55,86
376,00:53:10,95
377,00:53:15,94
378,00:53:25,93
379,00:53:30,92
380,00:53:40,91
381,00:53:45,90
382,00:53:55,89
383,00:54:10,89
384,00:54:25,89
385,00:54:30,87
386,00:54:40,86
387,00:54:45,85
388,00:54:55,87
389,00:55:05,85
390,00:55:10,84
391,00:55:25,84
392,00:55:30,77
393,00:55:45,77
394,00:56:00,77
395,00:56:05,72
396,00:56:10,70
397,00:56:15,71
398,00:56:20,72
399,00:56:30,73
400,00:56:39,73
401,00:56:44,76
402,00:56:59,76
403,00:57:04,75
404,00:57:14,74
405,00:57:29,76
406,00:57:34,77
407,00:57:39,78
408,00:57:44,77
409,00:57:59,76
410,00:58:09,81
411,00:58:14,83
412,00:58:29,81
413,00:58:39,78
414,00:58:54,78
415,00:58:59,80
416,00:59:09,79
417,00:59:14,79
418,00:59:19,78
419,00:59:24,77
420,00:59:34,80
421,00:59:49,81
422,01:00:04,82
423,01:00:14,83
424,01:00:19,84
425,01:00:24,83
426,01:00:34,82
427,01:00:39,82
428,01:00:44,83
429,01:00:54,84
430,01:00:59,81
431,01:01:04,79
432,01:01:09,77
433,01:01:19,76
434,01:01:29,77
435,01:01:44,77
436,01:01:59,76
437,01:02:04,77
438,01:02:14,81
439,01:02:19,83
440,01:02:24,82
441,01:02:29,80
442,01:02:34,80
443,01:02:39,79
444,01:02:44,79
445,01:02:59,79
446,01:03:09,80
447,01:03:14,80
448,01:03:19,80
449,01:03:34,79
450,01:03:39,78
451,01:03:44,78
452,01:03:49,79
453,01:03:54,88
454,01:03:59,90
455,01:04:04,87
456,01:04:09,79
457,01:04:14,77
458,01:04:19,76
459,01:04:34,78
460,01:04:49,79
461,01:05:04,79
462,01:05:19,79
463,01:05:24,78
464,01:05:29,77
465,01:05:34,78
466,01:05:44,77
467,01:05:49,81
468,01:05:54,85
469,01:06:09,85
470,01:06:24,85
471,01:06:39,84
472,01:06:44,95
473,01:06:49,101
474,01:06:54,101
475,01:07:09,99
476,01:07:19,100
477,01:07:29,104
478,01:07:39,103
479,01:07:44,102
480,01:07:49,102
481,01:07:54,103
482,01:07:59,101
483,01:08:04,100
484,01:08:09,101
485,01:08:14,104
486,01:08:19,105
487,01:08:29,106
488,01:08:44,107
