,Time,Heart
0,00:00:10,120
1,00:00:15,116
2,00:00:21,117
3,00:00:26,119
4,00:00:31,116
5,00:00:36,113
6,00:00:41,107
7,00:00:46,98
8,00:00:51,97
9,00:00:56,100
10,00:01:01,101
11,00:01:06,103
12,00:01:11,112
13,00:01:16,116
14,00:01:21,117
15,00:01:26,116
16,00:01:31,94
17,00:01:36,82
18,00:01:41,79
19,00:01:46,86
20,00:01:51,93
21,00:01:56,90
22,00:02:01,78
23,00:02:06,78
24,00:02:11,80
25,00:02:16,81
26,00:02:21,80
27,00:02:26,78
28,00:02:31,76
29,00:02:36,76
30,00:02:41,77
31,00:02:46,78
32,00:02:51,82
33,00:02:56,80
34,00:03:11,81
35,00:03:16,79
36,00:03:31,80
37,00:03:41,81
38,00:03:46,82
39,00:03:51,82
40,00:04:06,83
41,00:04:21,87
42,00:04:26,89
43,00:04:41,89
44,00:04:56,89
45,00:05:01,88
46,00:05:06,87
47,00:05:11,86
48,00:05:16,88
49,00:05:21,85
50,00:05:30,83
51,00:05:35,82
52,00:05:40,81
53,00:05:45,83
54,00:05:50,84
55,00:05:55,79
56,00:06:00,78
57,00:06:05,78
58,00:06:10,81
59,00:06:15,82
60,00:06:20,83
61,00:06:30,81
62,00:06:40,82
63,00:06:45,83
64,00:06:50,82
65,00:07:05,82
66,00:07:10,87
67,00:07:15,81
68,00:07:20,78
69,00:07:35,79
70,00:07:45,80
71,00:07:55,85
72,00:08:00,93
73,00:08:05,101
74,00:08:11,102
75,00:08:16,97
76,00:08:21,96
77,00:08:31,89
78,00:08:41,75
79,00:08:46,74
80,00:08:51,71
81,00:08:56,70
82,00:09:06,71
83,00:09:11,72
84,00:09:26,68
85,00:09:31,66
86,00:09:41,71
87,00:09:46,74
88,00:09:51,75
89,00:09:56,81
90,00:10:01,83
91,00:10:06,81
92,00:10:11,78
93,00:10:16,77
94,00:10:26,76
95,00:10:41,76
96,00:10:51,75
97,00:10:56,76
98,00:11:01,76
99,00:11:06,75
100,00:11:11,75
101,00:11:21,74
102,00:11:36,72
103,00:11:41,67
104,00:11:46,66
105,00:11:51,69
106,00:11:56,70
107,00:12:11,70
108,00:12:16,69
109,00:12:26,70
110,00:12:31,69
111,00:12:46,69
112,00:13:01,69
113,00:13:06,67
114,00:13:11,66
115,00:13:21,67
116,00:13:31,66
117,00:13:36,66
118,00:13:41,67
119,00:13:46,68
120,00:14:01,69
121,00:14:06,70
122,00:14:16,73
123,00:14:21,76
124,00:14:36,74
125,00:14:41,73
126,00:14:46,74
127,00:14:51,74
128,00:15:01,73
129,00:15:06,72
130,00:15:11,71
131,00:15:16,70
132,00:15:21,69
133,00:15:26,71
134,00:15:41,71
135,00:15:46,73
136,00:15:51,74
137,00:16:01,72
138,00:16:06,69
139,00:16:11,71
140,00:16:16,70
141,00:16:26,70
142,00:16:36,70
143,00:16:46,73
144,00:16:51,76
145,00:16:56,77
146,00:17:06,78
147,00:17:11,79
148,00:17:26,78
149,00:17:41,77
150,00:17:46,78
151,00:17:51,79
152,00:18:01,78
153,00:18:06,75
154,00:18:11,74
155,00:18:21,73
156,00:18:36,73
157,00:18:46,72
158,00:18:51,71
159,00:18:56,69
160,00:19:06,70
161,00:19:11,69
162,00:19:26,70
163,00:19:36,71
164,00:19:41,72
165,00:19:56,72
166,00:20:01,73
167,00:20:11,71
168,00:20:16,72
169,00:20:21,71
170,00:20:31,72
171,00:20:36,73
172,00:20:51,73
173,00:20:56,74
174,00:21:06,75
175,00:21:11,77
176,00:21:21,76
177,00:21:36,75
178,00:21:51,75
179,00:22:06,76
180,00:22:16,75
181,00:22:21,74
182,00:22:31,73
183,00:22:46,74
184,00:23:01,74
185,00:23:06,73
186,00:23:11,69
187,00:23:21,70
188,00:23:31,71
189,00:23:36,72
190,00:23:41,71
191,00:23:51,72
192,00:24:01,73
193,00:24:06,72
194,00:24:16,74
195,00:24:31,74
196,00:24:36,76
197,00:24:46,75
198,00:24:56,74
199,00:25:11,74
200,00:25:16,76
201,00:25:31,76
202,00:25:36,79
203,00:25:41,80
204,00:25:46,79
205,00:25:51,74
206,00:26:01,73
207,00:26:16,72
208,00:26:21,67
209,00:26:36,67
210,00:26:46,68
211,00:26:51,69
212,00:26:56,70
213,00:27:06,71
214,00:27:11,72
215,00:27:16,73
216,00:27:21,74
217,00:27:36,75
218,00:27:46,81
219,00:27:51,82
220,00:27:56,81
221,00:28:01,79
222,00:28:11,77
223,00:28:16,76
224,00:28:31,76
225,00:28:36,75
226,00:28:51,75
227,00:28:56,77
228,00:29:01,78
229,00:29:06,89
230,00:29:11,91
231,00:29:16,90
232,00:29:21,88
233,00:29:27,87
234,00:29:32,84
235,00:29:37,77
236,00:29:52,78
237,00:30:02,77
238,00:30:07,75
239,00:30:17,73
240,00:30:22,72
241,00:30:32,71
242,00:30:37,72
243,00:30:42,73
244,00:30:47,74
245,00:31:02,74
246,00:31:17,74
247,00:31:32,74
248,00:31:37,75
249,00:31:42,74
250,00:31:47,69
251,00:32:02,69
252,00:32:12,69
253,00:32:27,69
254,00:32:32,70
255,00:32:37,73
256,00:32:47,71
257,00:33:02,71
258,00:33:17,72
259,00:33:22,71
260,00:33:27,70
261,00:33:42,74
262,00:33:47,75
263,00:33:52,74
264,00:33:57,73
265,00:34:02,72
266,00:34:17,72
267,00:34:22,71
268,00:34:37,71
269,00:34:52,71
270,00:35:07,72
271,00:35:17,73
272,00:35:22,77
273,00:35:37,75
274,00:35:47,74
275,00:36:02,75
276,00:36:07,77
277,00:36:22,74
278,00:36:27,70
279,00:36:37,69
280,00:36:42,70
281,00:36:47,71
282,00:36:52,73
283,00:36:57,72
284,00:37:02,71
285,00:37:12,72
286,00:37:22,71
287,00:37:27,71
288,00:37:32,72
289,00:37:37,71
290,00:37:42,67
291,00:37:52,66
292,00:37:57,66
293,00:38:02,67
294,00:38:17,67
295,00:38:22,66
296,00:38:37,67
297,00:38:42,65
298,00:38:52,66
299,00:38:57,65
300,00:39:02,64
301,00:39:07,65
302,00:39:12,66
303,00:39:17,67
304,00:39:32,67
305,00:39:42,69
306,00:39:52,68
307,00:39:57,68
308,00:40:02,70
309,00:40:12,72
310,00:40:27,72
311,00:40:38,68
312,00:40:43,67
313,00:40:48,68
314,00:40:53,69
315,00:41:03,73
316,00:41:08,78
317,00:41:13,79
318,00:41:18,78
319,00:41:33,75
320,00:41:38,73
321,00:41:43,72
322,00:41:48,72
323,00:42:03,73
324,00:42:08,74
325,00:42:13,74
326,00:42:18,72
327,00:42:23,71
328,00:42:28,70
329,00:42:33,71
330,00:42:38,74
331,00:42:43,75
332,00:42:48,73
333,00:42:58,72
334,00:43:03,71
335,00:43:18,71
336,00:43:23,75
337,00:43:28,76
338,00:43:33,75
339,00:43:38,71
340,00:43:43,69
341,00:43:48,67
342,00:44:03,69
343,00:44:18,70
344,00:44:23,69
345,00:44:28,67
346,00:44:38,66
347,00:44:43,70
348,00:44:48,72
349,00:44:58,73
350,00:45:08,64
351,00:45:13,63
352,00:45:18,64
353,00:45:23,64
354,00:45:28,65
355,00:45:33,66
356,00:45:38,67
357,00:45:43,69
358,00:45:48,75
359,00:45:53,76
360,00:45:58,77
361,00:46:03,81
362,00:46:08,83
363,00:46:23,83
364,00:46:28,83
365,00:46:38,82
366,00:46:43,81
367,00:46:48,80
368,00:46:53,76
369,00:46:58,71
370,00:47:13,71
371,00:47:28,77
372,00:47:33,78
373,00:47:48,76
374,00:47:53,70
375,00:47:58,70
376,00:48:13,69
377,00:48:18,68
378,00:48:33,67
379,00:48:43,68
380,00:48:58,72
381,00:49:03,71
382,00:49:08,69
383,00:49:23,71
384,00:49:33,72
385,00:49:38,76
386,00:49:43,77
387,00:49:58,77
388,00:50:03,74
389,00:50:08,70
390,00:50:13,68
391,00:50:18,67
392,00:50:33,68
393,00:50:38,67
394,00:50:53,67
395,00:50:58,68
396,00:51:08,67
397,00:51:13,67
398,00:51:18,68
399,00:51:23,69
400,00:51:28,70
401,00:51:33,74
402,00:51:38,75
403,00:51:43,73
404,00:51:48,71
405,00:51:53,69
406,00:51:58,68
407,00:52:13,68
408,00:52:18,68
409,00:52:28,69
410,00:52:38,68
411,00:52:43,68
412,00:52:48,68
413,00:52:58,72
414,00:53:03,75
415,00:53:08,74
416,00:53:13,73
417,00:53:18,72
418,00:53:24,72
419,00:53:29,71
420,00:53:34,71
421,00:53:49,72
422,00:53:54,76
423,00:53:59,78
424,00:54:04,75
425,00:54:09,71
426,00:54:14,72
427,00:54:19,71
428,00:54:29,71
429,00:54:44,71
430,00:54:49,71
431,00:54:54,71
432,00:54:59,72
433,00:55:04,77
434,00:55:09,78
435,00:55:19,77
436,00:55:24,74
437,00:55:29,70
438,00:55:39,71
439,00:55:54,71
440,00:55:59,73
441,00:56:14,73
442,00:56:24,72
443,00:56:34,73
444,00:56:39,76
445,00:56:44,81
446,00:56:54,80
447,00:57:04,79
448,00:57:09,74
449,00:57:14,71
450,00:57:19,70
451,00:57:34,70
452,00:57:39,70
453,00:57:49,73
454,00:57:54,74
455,00:58:04,75
456,00:58:19,75
457,00:58:34,75
458,00:58:39,76
459,00:58:44,91
460,00:58:49,92
461,00:58:54,91
462,00:59:04,90
463,00:59:09,88
464,00:59:19,89
465,00:59:29,87
466,00:59:34,84
467,00:59:39,80
468,00:59:44,79
469,00:59:49,80
470,00:59:54,82
471,00:59:59,81
472,01:00:14,81
473,01:00:24,80
474,01:00:39,80
475,01:00:44,79
476,01:00:49,78
477,01:01:04,77
478,01:01:09,76
479,01:01:19,75
480,01:01:24,73
481,01:01:39,74
482,01:01:54,74
483,01:01:59,75
484,01:02:09,82
485,01:02:14,83
486,01:02:19,81
487,01:02:24,77
488,01:02:29,73
489,01:02:34,72
490,01:02:49,73
491,01:03:04,73
492,01:03:09,75
493,01:03:14,76
494,01:03:29,76
495,01:03:39,77
496,01:03:44,78
497,01:03:49,80
498,01:03:54,81
499,01:03:59,80
500,01:04:04,79
501,01:04:09,78
502,01:04:14,77
503,01:04:19,76
504,01:04:24,75
505,01:04:29,74
506,01:04:34,73
507,01:04:39,74
508,01:04:44,75
509,01:04:59,73
510,01:05:04,72
511,01:05:09,72
512,01:05:19,73
513,01:05:34,74
514,01:05:49,74
515,01:05:54,73
516,01:05:59,73
517,01:06:04,73
518,01:06:09,74
519,01:06:24,74
520,01:06:39,74
521,01:06:49,75
522,01:06:54,76
523,01:07:04,75
524,01:07:09,73
525,01:07:14,74
526,01:07:24,72
527,01:07:29,70
528,01:07:34,69
529,01:07:39,67
530,01:07:44,66
531,01:07:49,67
532,01:07:54,68
533,01:07:59,69
534,01:08:14,69
535,01:08:29,70
536,01:08:34,72
537,01:08:39,73
538,01:08:44,70
539,01:08:49,67
540,01:08:54,70
541,01:08:59,72
542,01:09:04,74
543,01:09:14,73
544,01:09:19,72
545,01:09:34,74
546,01:09:39,73
547,01:09:44,70
548,01:09:49,68
549,01:09:54,67
550,01:10:04,68
551,01:10:09,67
552,01:10:14,66
553,01:10:19,66
554,01:10:24,68
555,01:10:29,70
556,01:10:34,71
557,01:10:44,68
558,01:10:59,69
559,01:11:14,69
560,01:11:19,70
561,01:11:24,71
562,01:11:39,70
563,01:11:54,70
564,01:11:59,75
565,01:12:09,73
566,01:12:14,70
567,01:12:19,66
568,01:12:34,66
569,01:12:44,66
570,01:12:49,68
571,01:12:54,69
572,01:13:04,70
573,01:13:09,71
574,01:13:14,72
575,01:13:29,72
576,01:13:35,73
577,01:13:40,72
578,01:13:55,72
579,01:14:00,73
580,01:14:15,73
581,01:14:20,72
582,01:14:35,73
583,01:14:40,72
584,01:14:45,79
585,01:14:50,85
586,01:14:55,83
587,01:15:00,82
588,01:15:05,82
589,01:15:15,83
590,01:15:20,85
591,01:15:25,86
592,01:15:30,87
593,01:15:35,88
594,01:15:40,91
595,01:15:45,92
596,01:15:50,91
597,01:16:00,92
598,01:16:10,91
599,01:16:15,90
600,01:16:20,89
601,01:16:30,87
602,01:16:40,86
603,01:16:45,86
604,01:16:50,87
605,01:17:00,89
606,01:17:10,88
607,01:17:15,87
608,01:17:30,87
609,01:17:40,85
610,01:17:50,86
611,01:18:05,87
612,01:18:10,88
613,01:18:25,89
614,01:18:30,90
615,01:18:35,91
616,01:18:50,90
617,01:19:00,89
618,01:19:10,88
619,01:19:15,89
620,01:19:25,88
621,01:19:35,87
622,01:19:45,88
623,01:19:50,89
624,01:19:55,90
625,01:20:00,90
626,01:20:10,91
