,Time,Heart
0,00:00:02,71
1,00:00:07,72
2,00:00:12,72
3,00:00:27,72
4,00:00:32,73
5,00:00:37,73
6,00:00:47,74
7,00:00:52,75
8,00:01:07,75
9,00:01:12,75
10,00:01:22,76
11,00:01:32,75
12,00:01:42,74
13,00:01:52,75
14,00:01:57,77
15,00:02:12,75
16,00:02:27,74
17,00:02:37,73
18,00:02:52,73
19,00:02:57,72
20,00:03:02,71
21,00:03:17,72
22,00:03:27,74
23,00:03:32,76
24,00:03:37,77
25,00:03:42,77
26,00:03:52,76
27,00:03:57,75
28,00:04:07,73
29,00:04:12,72
30,00:04:27,73
31,00:04:42,73
32,00:04:47,74
33,00:04:52,73
34,00:04:57,71
35,00:05:02,72
36,00:05:07,73
37,00:05:12,75
38,00:05:27,76
39,00:05:32,75
40,00:05:37,74
41,00:05:42,73
42,00:05:47,72
43,00:05:57,72
44,00:06:02,70
45,00:06:12,71
46,00:06:22,72
47,00:06:32,72
48,00:06:47,73
49,00:06:57,72
50,00:07:12,72
51,00:07:17,71
52,00:07:27,72
53,00:07:32,73
54,00:07:42,74
55,00:07:52,76
56,00:08:07,76
57,00:08:12,76
58,00:08:17,74
59,00:08:22,71
60,00:08:32,69
61,00:08:37,68
62,00:08:42,69
63,00:08:47,70
64,00:08:57,71
65,00:09:02,72
66,00:09:07,71
67,00:09:12,70
68,00:09:17,71
69,00:09:22,71
70,00:09:27,71
71,00:09:32,73
72,00:09:37,75
73,00:09:42,76
74,00:09:52,76
75,00:10:02,77
76,00:10:17,77
77,00:10:27,78
78,00:10:35,78
79,00:10:40,77
80,00:10:45,76
81,00:11:00,76
82,00:11:10,78
83,00:11:15,79
84,00:11:20,81
85,00:11:25,79
86,00:11:30,77
87,00:11:35,77
88,00:11:40,75
89,00:11:45,74
90,00:11:50,73
91,00:11:55,73
92,00:12:00,72
93,00:12:15,73
94,00:12:20,74
95,00:12:25,72
96,00:12:30,71
97,00:12:45,72
98,00:12:50,71
99,00:12:55,71
100,00:13:00,72
101,00:13:05,74
102,00:13:20,72
103,00:13:30,71
104,00:13:45,71
105,00:13:46,71
106,00:13:51,72
107,00:14:06,73
108,00:14:16,72
109,00:14:21,70
110,00:14:26,69
111,00:14:31,70
112,00:14:41,69
113,00:14:56,68
114,00:15:01,70
115,00:15:06,71
116,00:15:11,70
117,00:15:21,71
118,00:15:26,70
119,00:15:36,71
120,00:15:41,72
121,00:15:46,71
122,00:15:56,72
123,00:16:01,71
124,00:16:06,71
125,00:16:11,72
126,00:16:26,73
127,00:16:31,74
128,00:16:36,73
129,00:16:41,72
130,00:16:51,73
131,00:16:56,71
132,00:17:01,70
133,00:17:16,70
134,00:17:21,73
135,00:17:26,74
136,00:17:36,73
137,00:17:41,72
138,00:17:46,73
139,00:18:01,72
140,00:18:11,73
141,00:18:21,74
142,00:18:26,72
143,00:18:31,71
144,00:18:41,70
145,00:18:56,71
146,00:19:01,71
147,00:19:16,71
148,00:19:21,71
149,00:19:36,71
150,00:19:51,71
151,00:20:06,71
152,00:20:16,69
153,00:20:31,68
154,00:20:36,69
155,00:20:46,71
156,00:20:51,72
157,00:20:56,72
158,00:21:01,71
159,00:21:06,72
160,00:21:11,73
161,00:21:16,73
162,00:21:21,72
163,00:21:26,71
164,00:21:31,72
165,00:21:36,71
166,00:21:41,71
167,00:21:56,70
168,00:22:11,70
169,00:22:21,71
170,00:22:26,70
171,00:22:41,69
172,00:22:56,69
173,00:23:06,68
174,00:23:21,68
175,00:23:26,69
176,00:23:31,70
177,00:23:36,71
178,00:23:41,72
179,00:23:46,73
180,00:24:01,72
181,00:24:06,69
182,00:24:11,68
183,00:24:21,67
184,00:24:26,65
185,00:24:31,62
186,00:24:37,62
187,00:24:42,63
188,00:24:47,65
189,00:24:52,66
190,00:24:57,67
191,00:25:02,68
192,00:25:07,69
193,00:25:22,68
194,00:25:27,65
195,00:25:32,64
196,00:25:47,63
197,00:26:02,63
198,00:26:07,64
199,00:26:22,64
200,00:26:27,66
201,00:26:32,67
202,00:26:37,69
203,00:26:42,71
204,00:26:47,72
205,00:27:02,73
206,00:27:07,75
207,00:27:12,74
208,00:27:17,75
209,00:27:27,73
210,00:27:42,73
211,00:27:47,74
212,00:27:52,73
213,00:27:57,73
214,00:28:12,73
215,00:28:22,74
216,00:28:27,73
