,Time,Heart
0,00:00:10,79
1,00:00:15,79
2,00:00:20,79
3,00:00:25,78
4,00:00:30,77
5,00:00:40,79
6,00:00:45,80
7,00:00:50,81
8,00:00:55,82
9,00:01:00,83
10,00:01:15,84
11,00:01:25,84
12,00:01:30,85
13,00:01:35,85
14,00:01:40,85
15,00:01:45,84
16,00:01:50,82
17,00:01:55,81
18,00:02:00,83
19,00:02:05,87
20,00:02:10,87
21,00:02:25,87
22,00:02:30,88
23,00:02:40,87
24,00:02:45,87
25,00:02:55,88
26,00:03:05,87
27,00:03:20,86
28,00:03:25,84
29,00:03:40,83
30,00:03:50,83
31,00:03:55,84
32,00:04:05,85
33,00:04:10,86
34,00:04:15,86
35,00:04:25,85
36,00:04:30,84
37,00:04:40,82
38,00:04:45,81
39,00:04:50,80
40,00:04:55,80
41,00:05:10,80
42,00:05:25,80
43,00:05:40,81
44,00:05:55,81
45,00:06:05,81
46,00:06:10,81
47,00:06:15,83
48,00:06:20,82
49,00:06:35,83
50,00:06:45,82
51,00:07:00,82
52,00:07:10,80
53,00:07:15,79
54,00:07:20,80
55,00:07:30,91
56,00:07:35,94
57,00:07:50,94
58,00:08:00,93
59,00:08:15,93
60,00:08:20,91
61,00:08:35,91
62,00:08:45,91
63,00:09:00,91
64,00:09:06,90
65,00:09:21,89
66,00:09:26,89
67,00:09:31,88
68,00:09:41,87
69,00:09:51,88
70,00:09:56,89
71,00:10:11,89
72,00:10:16,87
73,00:10:21,86
74,00:10:36,86
75,00:10:46,85
76,00:10:51,82
77,00:10:56,76
78,00:11:01,73
79,00:11:11,72
80,00:11:26,73
81,00:11:36,73
82,00:11:51,73
83,00:12:01,72
84,00:12:06,77
85,00:12:11,87
86,00:12:16,88
87,00:12:21,87
88,00:12:36,86
89,00:12:46,87
90,00:12:51,88
91,00:13:06,88
92,00:13:11,89
93,00:13:26,90
94,00:13:31,91
95,00:13:36,93
96,00:13:41,93
97,00:13:46,97
98,00:13:51,99
99,00:14:06,99
100,00:14:11,100
101,00:14:16,101
102,00:14:21,102
103,00:14:26,101
104,00:14:31,98
105,00:14:36,95
106,00:14:41,94
107,00:14:46,93
108,00:14:56,92
109,00:15:01,89
110,00:15:06,87
111,00:15:11,86
112,00:15:26,86
113,00:15:36,87
114,00:15:41,89
115,00:15:51,87
116,00:15:56,86
117,00:16:01,86
118,00:16:06,83
119,00:16:11,79
120,00:16:16,70
121,00:16:21,68
122,00:16:26,68
123,00:16:31,69
124,00:16:36,71
125,00:16:46,72
126,00:17:01,72
127,00:17:06,78
128,00:17:11,85
129,00:17:26,85
130,00:17:36,86
131,00:17:41,87
132,00:17:46,88
133,00:17:51,89
134,00:18:06,90
135,00:18:16,91
136,00:18:21,89
137,00:18:26,88
138,00:18:36,87
139,00:18:41,86
140,00:18:46,85
141,00:18:51,83
142,00:19:01,87
143,00:19:06,89
144,00:19:11,88
145,00:19:21,87
146,00:19:36,85
147,00:19:41,83
148,00:19:46,82
149,00:19:56,83
150,00:20:06,82
151,00:20:11,79
152,00:20:16,76
153,00:20:21,77
154,00:20:26,78
155,00:20:41,79
156,00:20:51,80
157,00:20:56,79
158,00:21:11,79
159,00:21:16,80
160,00:21:26,79
161,00:21:31,78
162,00:21:41,76
163,00:21:46,75
164,00:22:01,75
165,00:22:16,76
166,00:22:21,76
167,00:22:36,76
168,00:22:46,73
169,00:22:52,73
170,00:22:57,72
171,00:23:02,72
172,00:23:07,73
173,00:23:12,72
174,00:23:17,70
175,00:23:27,69
176,00:23:32,67
177,00:23:37,68
178,00:23:42,70
179,00:23:57,70
180,00:24:07,71
181,00:24:17,73
182,00:24:22,75
183,00:24:37,75
184,00:24:42,76
185,00:24:57,84
186,00:25:02,93
187,00:25:07,89
188,00:25:12,78
189,00:25:17,73
190,00:25:22,73
191,00:25:27,75
192,00:25:42,81
193,00:25:47,82
194,00:25:52,86
195,00:25:57,95
196,00:26:02,96
197,00:26:07,94
198,00:26:12,87
199,00:26:27,87
200,00:26:32,86
201,00:26:37,83
202,00:26:42,81
203,00:26:47,78
204,00:26:52,77
205,00:27:07,76
206,00:27:12,75
207,00:27:17,76
208,00:27:27,77
209,00:27:37,78
210,00:27:42,79
211,00:27:47,78
212,00:27:57,77
213,00:28:02,79
214,00:28:07,75
215,00:28:12,73
216,00:28:22,72
217,00:28:32,78
218,00:28:37,82
219,00:28:42,83
220,00:28:52,84
221,00:28:57,86
222,00:29:12,87
223,00:29:27,87
224,00:29:37,88
225,00:29:42,87
226,00:29:47,87
227,00:29:52,88
228,00:30:07,89
229,00:30:12,88
230,00:30:17,85
231,00:30:22,84
