,Time,Calories
0,00:00:00,9.034560203552246
1,00:01:00,10.54032039642334
2,00:02:00,6.524960041046143
3,00:03:00,4.26632022857666
4,00:04:00,4.26632022857666
5,00:05:00,1.6312400102615356
6,00:06:00,1.5057599544525146
7,00:07:00,1.6312400102615356
8,00:08:00,1.6312400102615356
9,00:09:00,1.5057599544525146
10,00:10:00,1.5057599544525146
11,00:11:00,1.6312400102615356
12,00:12:00,1.5057599544525146
13,00:13:00,3.513439893722534
14,00:14:00,1.5057599544525146
15,00:15:00,1.5057599544525146
16,00:16:00,1.5057599544525146
17,00:17:00,1.5057599544525146
18,00:18:00,1.5057599544525146
19,00:19:00,3.764400005340576
20,00:20:00,4.26632022857666
21,00:21:00,1.6312400102615356
22,00:22:00,1.6312400102615356
23,00:23:00,1.6312400102615356
24,00:24:00,1.5057599544525146
25,00:25:00,1.6312400102615356
26,00:26:00,3.764400005340576
27,00:27:00,1.5057599544525146
28,00:28:00,1.5057599544525146
29,00:29:00,1.5057599544525146
30,00:30:00,3.764400005340576
31,00:31:00,4.015359878540039
32,00:32:00,1.882200002670288
33,00:33:00,1.882200002670288
34,00:34:00,3.764400005340576
35,00:35:00,1.6312400102615356
36,00:36:00,1.6312400102615356
37,00:37:00,1.5057599544525146
38,00:38:00,1.5057599544525146
39,00:39:00,1.2547999620437622
40,00:40:00,1.5057599544525146
41,00:41:00,1.5057599544525146
42,00:42:00,1.6312400102615356
43,00:43:00,1.5057599544525146
44,00:44:00,1.2547999620437622
45,00:45:00,1.5057599544525146
46,00:46:00,1.6312400102615356
47,00:47:00,1.5057599544525146
48,00:48:00,1.6312400102615356
49,00:49:00,1.5057599544525146
50,00:50:00,1.6312400102615356
51,00:51:00,1.6312400102615356
52,00:52:00,1.5057599544525146
53,00:53:00,1.5057599544525146
54,00:54:00,1.5057599544525146
55,00:55:00,3.513439893722534
56,00:56:00,1.6312400102615356
57,00:57:00,1.5057599544525146
58,00:58:00,1.5057599544525146
59,00:59:00,1.5057599544525146
60,01:00:00,1.5057599544525146
61,01:01:00,1.5057599544525146
62,01:02:00,1.5057599544525146
63,01:03:00,1.6312400102615356
64,01:04:00,1.5057599544525146
65,01:05:00,1.6312400102615356
66,01:06:00,1.5057599544525146
67,01:07:00,1.5057599544525146
68,01:08:00,1.5057599544525146
69,01:09:00,3.513439893722534
70,01:10:00,3.2624800205230713
71,01:11:00,1.5057599544525146
72,01:12:00,1.5057599544525146
73,01:13:00,1.6312400102615356
74,01:14:00,1.5057599544525146
75,01:15:00,1.5057599544525146
76,01:16:00,1.6312400102615356
77,01:17:00,4.015359878540039
78,01:18:00,1.5057599544525146
79,01:19:00,1.6312400102615356
80,01:20:00,1.6312400102615356
81,01:21:00,1.5057599544525146
82,01:22:00,1.6312400102615356
83,01:23:00,1.5057599544525146
84,01:24:00,1.2547999620437622
85,01:25:00,1.5057599544525146
86,01:26:00,1.5057599544525146
87,01:27:00,1.5057599544525146
88,01:28:00,1.6312400102615356
89,01:29:00,1.6312400102615356
90,01:30:00,1.6312400102615356
91,01:31:00,1.5057599544525146
92,01:32:00,1.6312400102615356
93,01:33:00,1.5057599544525146
94,01:34:00,1.5057599544525146
95,01:35:00,3.2624800205230713
96,01:36:00,4.015359878540039
97,01:37:00,1.6312400102615356
98,01:38:00,1.5057599544525146
99,01:39:00,1.2547999620437622
100,01:40:00,1.2547999620437622
101,01:41:00,1.2547999620437622
102,01:42:00,1.2547999620437622
103,01:43:00,1.2547999620437622
104,01:44:00,1.2547999620437622
105,01:45:00,1.3802800178527832
106,01:46:00,1.2547999620437622
107,01:47:00,1.2547999620437622
108,01:48:00,1.2547999620437622
109,01:49:00,1.2547999620437622
110,01:50:00,4.015359878540039
111,01:51:00,4.26632022857666
112,01:52:00,1.5057599544525146
113,01:53:00,1.6312400102615356
114,01:54:00,4.517280101776123
115,01:55:00,4.3917999267578125
116,01:56:00,3.764400005340576
117,01:57:00,1.2547999620437622
118,01:58:00,1.2547999620437622
119,01:59:00,1.3802800178527832
120,02:00:00,1.3802800178527832
121,02:01:00,1.6312400102615356
122,02:02:00,1.2547999620437622
123,02:03:00,1.2547999620437622
124,02:04:00,1.2547999620437622
125,02:05:00,1.2547999620437622
126,02:06:00,1.2547999620437622
127,02:07:00,1.2547999620437622
128,02:08:00,1.2547999620437622
129,02:09:00,1.3802800178527832
130,02:10:00,1.2547999620437622
131,02:11:00,1.2547999620437622
132,02:12:00,1.5057599544525146
133,02:13:00,1.2547999620437622
134,02:14:00,1.2547999620437622
135,02:15:00,1.2547999620437622
136,02:16:00,1.2547999620437622
137,02:17:00,1.2547999620437622
138,02:18:00,1.2547999620437622
139,02:19:00,1.2547999620437622
140,02:20:00,1.2547999620437622
141,02:21:00,1.2547999620437622
142,02:22:00,1.2547999620437622
143,02:23:00,1.2547999620437622
144,02:24:00,1.2547999620437622
145,02:25:00,1.2547999620437622
146,02:26:00,1.2547999620437622
147,02:27:00,1.2547999620437622
148,02:28:00,1.5057599544525146
149,02:29:00,1.2547999620437622
150,02:30:00,1.2547999620437622
151,02:31:00,1.2547999620437622
152,02:32:00,1.2547999620437622
153,02:33:00,1.2547999620437622
154,02:34:00,1.2547999620437622
155,02:35:00,1.2547999620437622
156,02:36:00,1.6312400102615356
157,02:37:00,1.2547999620437622
158,02:38:00,1.2547999620437622
159,02:39:00,1.2547999620437622
160,02:40:00,1.2547999620437622
161,02:41:00,1.2547999620437622
162,02:42:00,1.2547999620437622
163,02:43:00,1.2547999620437622
164,02:44:00,1.2547999620437622
