,Time,Heart Rate
0,00:00:01,87
1,00:00:11,88
2,00:00:16,87
3,00:00:26,79
4,00:00:31,80
5,00:00:36,81
6,00:00:41,79
7,00:00:56,79
8,00:01:11,79
9,00:01:21,78
10,00:01:31,81
11,00:01:36,83
12,00:01:41,82
13,00:01:51,81
14,00:02:01,82
15,00:02:11,83
16,00:02:21,82
17,00:02:31,83
18,00:02:36,81
19,00:02:41,78
20,00:02:46,76
21,00:02:51,77
22,00:02:56,78
23,00:03:01,80
24,00:03:06,81
25,00:03:11,82
26,00:03:16,81
27,00:03:21,80
28,00:03:26,79
29,00:03:41,79
30,00:03:51,78
31,00:03:56,79
32,00:04:06,77
33,00:04:11,76
34,00:04:16,78
35,00:04:21,77
36,00:04:26,77
37,00:04:31,76
38,00:04:36,76
39,00:04:51,76
40,00:05:01,77
41,00:05:16,77
42,00:05:21,79
43,00:05:26,87
44,00:05:41,87
45,00:05:46,88
46,00:05:51,88
47,00:05:56,89
48,00:06:01,90
49,00:06:11,89
50,00:06:16,89
51,00:06:31,87
52,00:06:41,86
53,00:06:46,84
54,00:07:01,84
55,00:07:06,83
56,00:07:11,82
57,00:07:21,83
58,00:07:26,84
59,00:07:31,85
60,00:07:46,85
61,00:07:56,84
62,00:08:01,81
63,00:08:06,78
64,00:08:11,79
65,00:08:16,88
66,00:08:21,87
67,00:08:26,81
68,00:08:41,81
69,00:08:51,80
70,00:09:06,81
71,00:09:11,81
72,00:09:26,81
73,00:09:41,80
74,00:09:51,77
75,00:09:56,76
76,00:10:01,76
77,00:10:16,76
78,00:10:21,77
79,00:10:36,77
80,00:10:51,77
81,00:11:06,78
82,00:11:21,77
83,00:11:26,71
84,00:11:41,72
85,00:11:46,73
86,00:12:01,78
87,00:12:06,82
88,00:12:21,82
89,00:12:26,85
90,00:12:36,84
91,00:12:51,84
92,00:12:56,81
93,00:13:01,78
94,00:13:11,80
95,00:13:16,82
96,00:13:21,80
97,00:13:26,79
98,00:13:31,78
99,00:13:41,76
100,00:13:46,75
101,00:13:56,74
102,00:14:01,75
103,00:14:06,75
104,00:14:11,75
105,00:14:26,75
106,00:14:41,75
107,00:14:56,77
108,00:15:06,76
109,00:15:16,77
110,00:15:31,77
111,00:15:36,75
112,00:15:41,74
113,00:15:51,73
114,00:15:56,74
115,00:16:01,73
116,00:16:06,72
117,00:16:21,72
118,00:16:26,87
119,00:16:31,92
120,00:16:36,86
121,00:16:41,85
122,00:16:51,84
123,00:17:01,80
124,00:17:06,79
125,00:17:11,86
126,00:17:16,86
127,00:17:21,84
128,00:17:26,83
129,00:17:41,83
130,00:17:56,84
131,00:18:01,81
132,00:18:11,80
133,00:18:26,80
134,00:18:31,76
135,00:18:46,76
136,00:19:01,77
137,00:19:16,77
138,00:19:31,78
139,00:19:36,79
140,00:19:46,78
141,00:19:56,77
142,00:20:01,76
143,00:20:06,75
144,00:20:11,74
145,00:20:21,75
146,00:20:36,75
147,00:20:41,76
148,00:20:51,76
149,00:20:57,77
150,00:21:07,78
151,00:21:17,77
152,00:21:32,77
153,00:21:37,78
154,00:21:47,79
155,00:21:57,78
156,00:22:12,77
157,00:22:17,76
158,00:22:32,76
159,00:22:47,77
160,00:23:02,77
161,00:23:12,76
162,00:23:22,77
163,00:23:37,77
164,00:23:52,78
165,00:24:02,77
166,00:24:17,77
167,00:24:22,83
168,00:24:27,86
169,00:24:37,87
170,00:24:52,87
171,00:24:57,85
172,00:25:02,84
173,00:25:07,84
174,00:25:12,83
175,00:25:27,83
176,00:25:32,82
177,00:25:47,81
178,00:25:52,80
179,00:26:07,79
180,00:26:12,75
181,00:26:27,75
182,00:26:42,82
183,00:26:47,83
184,00:26:52,82
185,00:26:57,80
186,00:27:12,80
187,00:27:27,80
188,00:27:42,80
189,00:27:52,79
190,00:28:02,78
191,00:28:07,76
192,00:28:17,77
193,00:28:27,76
194,00:28:32,75
195,00:28:37,74
196,00:28:42,76
197,00:28:47,78
198,00:28:52,78
199,00:29:02,84
200,00:29:07,88
201,00:29:22,88
202,00:29:32,87
203,00:29:37,87
204,00:29:47,86
205,00:30:02,85
206,00:30:12,86
207,00:30:27,85
208,00:30:42,84
209,00:30:57,84
210,00:31:02,84
211,00:31:17,83
212,00:31:22,82
213,00:31:27,80
214,00:31:32,81
215,00:31:37,80
216,00:31:47,77
217,00:31:52,73
218,00:32:07,73
219,00:32:22,74
220,00:32:37,74
221,00:32:42,74
222,00:32:57,74
223,00:33:07,75
224,00:33:22,75
225,00:33:27,74
226,00:33:32,75
227,00:33:47,75
228,00:34:02,76
229,00:34:17,77
230,00:34:22,77
231,00:34:32,75
232,00:34:37,73
233,00:34:42,72
234,00:34:47,71
235,00:34:52,72
236,00:35:07,72
237,00:35:22,73
238,00:35:27,72
239,00:35:37,71
240,00:35:42,72
241,00:35:52,74
242,00:36:02,73
243,00:36:12,73
244,00:36:17,73
245,00:36:32,73
246,00:36:47,74
247,00:36:52,73
