,Time,Heart Rate
0,00:00:07,85
1,00:00:17,86
2,00:00:22,85
3,00:00:37,85
4,00:00:42,86
5,00:00:47,87
6,00:00:57,86
7,00:01:12,85
8,00:01:22,86
9,00:01:27,88
10,00:01:32,89
11,00:01:37,90
12,00:01:52,90
13,00:02:02,90
14,00:02:07,91
15,00:02:12,91
16,00:02:17,91
17,00:02:27,90
18,00:02:37,88
19,00:02:42,89
20,00:02:47,90
21,00:02:52,91
22,00:02:57,91
23,00:03:02,90
24,00:03:12,89
25,00:03:17,85
26,00:03:22,84
27,00:03:27,82
28,00:03:32,81
29,00:03:47,82
30,00:03:52,84
31,00:04:07,84
32,00:04:12,85
33,00:04:22,84
34,00:04:27,84
35,00:04:42,77
36,00:04:47,74
37,00:04:52,70
38,00:04:57,68
39,00:05:02,69
40,00:05:07,70
41,00:05:12,71
42,00:05:17,72
43,00:05:32,72
44,00:05:42,73
45,00:05:57,74
46,00:06:07,75
47,00:06:17,76
48,00:06:22,76
49,00:06:27,77
50,00:06:32,77
51,00:06:42,82
52,00:06:47,81
53,00:06:52,80
54,00:06:57,79
55,00:07:12,80
56,00:07:17,79
57,00:07:32,79
58,00:07:47,79
59,00:07:57,80
60,00:08:12,80
61,00:08:22,79
62,00:08:27,78
63,00:08:32,77
64,00:08:42,78
65,00:08:52,79
66,00:08:57,80
67,00:09:12,80
68,00:09:27,85
69,00:09:32,84
70,00:09:37,80
71,00:09:52,80
72,00:09:57,79
73,00:10:02,79
74,00:10:12,80
75,00:10:17,81
76,00:10:32,81
77,00:10:37,81
78,00:10:42,82
79,00:10:52,83
80,00:11:02,84
81,00:11:07,83
82,00:11:12,84
83,00:11:17,88
84,00:11:22,89
85,00:11:27,88
86,00:11:32,94
87,00:11:37,96
88,00:11:42,95
89,00:11:47,94
90,00:11:52,93
91,00:12:02,92
92,00:12:07,85
93,00:12:12,80
94,00:12:17,76
95,00:12:22,76
96,00:12:32,76
97,00:12:37,75
98,00:12:42,74
99,00:12:47,74
100,00:12:52,75
101,00:13:02,74
102,00:13:17,74
103,00:13:23,78
104,00:13:38,78
105,00:13:43,79
106,00:13:53,80
107,00:14:08,79
108,00:14:13,77
109,00:14:18,76
110,00:14:23,75
111,00:14:28,75
112,00:14:38,76
113,00:14:43,75
114,00:14:58,77
115,00:15:08,78
116,00:15:13,79
117,00:15:18,78
118,00:15:33,78
119,00:15:48,78
120,00:15:53,79
121,00:16:08,77
122,00:16:13,75
123,00:16:18,73
124,00:16:23,70
125,00:16:38,70
126,00:16:43,69
127,00:16:53,70
128,00:16:58,72
129,00:17:08,73
130,00:17:13,73
131,00:17:18,84
132,00:17:23,86
133,00:17:33,83
134,00:17:38,82
135,00:17:48,78
136,00:17:53,74
137,00:18:03,75
138,00:18:18,75
139,00:18:23,74
140,00:18:38,74
141,00:18:43,76
142,00:18:53,75
143,00:18:58,72
144,00:19:08,73
145,00:19:23,74
146,00:19:33,73
147,00:19:43,75
148,00:19:53,76
149,00:20:08,75
150,00:20:13,77
151,00:20:18,78
152,00:20:23,79
153,00:20:38,79
154,00:20:43,81
155,00:20:48,80
156,00:20:53,77
157,00:21:08,77
158,00:21:13,74
159,00:21:28,77
160,00:21:33,86
161,00:21:43,85
162,00:21:48,84
163,00:22:03,84
164,00:22:08,84
165,00:22:13,83
166,00:22:18,79
167,00:22:23,77
168,00:22:28,76
169,00:22:33,77
170,00:22:38,76
171,00:22:48,77
172,00:22:53,77
173,00:23:08,78
174,00:23:23,76
175,00:23:28,75
176,00:23:38,74
177,00:23:53,75
178,00:23:58,81
179,00:24:03,82
180,00:24:08,83
181,00:24:13,82
182,00:24:18,82
183,00:24:23,77
184,00:24:33,74
185,00:24:38,71
186,00:24:53,71
187,00:25:03,72
188,00:25:08,73
189,00:25:13,72
190,00:25:28,72
191,00:25:43,72
192,00:25:48,73
193,00:25:53,76
194,00:25:58,72
195,00:26:03,69
196,00:26:08,68
197,00:26:13,66
198,00:26:18,68
199,00:26:23,73
200,00:26:28,73
201,00:26:33,72
202,00:26:38,69
203,00:26:48,70
204,00:26:53,71
205,00:27:03,72
206,00:27:08,71
207,00:27:23,71
208,00:27:28,73
209,00:27:33,74
210,00:27:48,75
211,00:27:53,76
212,00:27:58,74
213,00:28:03,71
214,00:28:13,72
215,00:28:18,73
216,00:28:33,72
217,00:28:48,72
218,00:28:53,73
219,00:29:08,76
220,00:29:23,75
221,00:29:33,74
222,00:29:38,75
223,00:29:43,76
224,00:29:58,78
225,00:30:03,79
226,00:30:08,77
227,00:30:13,76
228,00:30:28,75
229,00:30:33,72
230,00:30:38,74
231,00:30:43,75
232,00:30:48,74
233,00:31:03,73
234,00:31:18,74
235,00:31:23,75
236,00:31:28,75
237,00:31:38,76
238,00:31:48,77
239,00:31:53,78
240,00:31:58,85
241,00:32:08,84
242,00:32:13,83
243,00:32:18,77
244,00:32:23,75
245,00:32:38,75
246,00:32:53,75
247,00:32:58,73
248,00:33:08,72
249,00:33:13,67
250,00:33:18,64
251,00:33:23,65
252,00:33:28,64
253,00:33:38,65
254,00:33:43,66
255,00:33:48,68
256,00:33:53,70
257,00:33:58,69
258,00:34:03,68
259,00:34:13,69
260,00:34:18,70
261,00:34:23,69
262,00:34:29,68
263,00:34:34,69
264,00:34:44,72
265,00:34:49,74
266,00:34:54,72
267,00:34:59,69
268,00:35:04,68
269,00:35:09,66
270,00:35:14,66
271,00:35:29,66
272,00:35:34,67
273,00:35:44,71
274,00:35:49,76
275,00:35:54,78
276,00:35:59,77
277,00:36:14,77
278,00:36:29,76
279,00:36:34,77
280,00:36:39,81
281,00:36:44,80
