,Time,State,Interpreted
0,03:10:00,3,Very Awake
1,03:11:00,3,Very Awake
2,03:12:00,3,Very Awake
3,03:13:00,2,Awake
4,03:14:00,2,Awake
5,03:15:00,1,Asleep
6,03:16:00,1,Asleep
7,03:17:00,1,Asleep
8,03:18:00,1,Asleep
9,03:19:00,1,Asleep
10,03:20:00,1,Asleep
11,03:21:00,1,Asleep
12,03:22:00,1,Asleep
13,03:23:00,1,Asleep
14,03:24:00,1,Asleep
15,03:25:00,1,Asleep
16,03:26:00,1,Asleep
17,03:27:00,1,Asleep
18,03:28:00,1,Asleep
19,03:29:00,1,Asleep
20,03:30:00,1,Asleep
21,03:31:00,1,Asleep
22,03:32:00,1,Asleep
23,03:33:00,1,Asleep
24,03:34:00,1,Asleep
25,03:35:00,1,Asleep
26,03:36:00,1,Asleep
27,03:37:00,1,Asleep
28,03:38:00,1,Asleep
29,03:39:00,1,Asleep
30,03:40:00,1,Asleep
31,03:41:00,1,Asleep
32,03:42:00,1,Asleep
33,03:43:00,2,Awake
34,03:44:00,1,Asleep
35,03:45:00,2,Awake
36,03:46:00,1,Asleep
37,03:47:00,2,Awake
38,03:48:00,1,Asleep
39,03:49:00,2,Awake
40,03:50:00,1,Asleep
41,03:51:00,1,Asleep
42,03:52:00,1,Asleep
43,03:53:00,1,Asleep
44,03:54:00,1,Asleep
45,03:55:00,1,Asleep
46,03:56:00,1,Asleep
47,03:57:00,1,Asleep
48,03:58:00,1,Asleep
49,03:59:00,1,Asleep
50,04:00:00,1,Asleep
51,04:01:00,1,Asleep
52,04:02:00,1,Asleep
53,04:03:00,1,Asleep
54,04:04:00,1,Asleep
55,04:05:00,1,Asleep
56,04:06:00,1,Asleep
57,04:07:00,1,Asleep
58,04:08:00,1,Asleep
59,04:09:00,1,Asleep
60,04:10:00,1,Asleep
61,04:11:00,1,Asleep
62,04:12:00,1,Asleep
63,04:13:00,1,Asleep
64,04:14:00,1,Asleep
65,04:15:00,1,Asleep
66,04:16:00,1,Asleep
67,04:17:00,1,Asleep
68,04:18:00,1,Asleep
69,04:19:00,1,Asleep
70,04:20:00,1,Asleep
71,04:21:00,1,Asleep
72,04:22:00,1,Asleep
73,04:23:00,1,Asleep
74,04:24:00,1,Asleep
75,04:25:00,1,Asleep
76,04:26:00,1,Asleep
77,04:27:00,1,Asleep
78,04:28:00,1,Asleep
79,04:29:00,1,Asleep
80,04:30:00,1,Asleep
81,04:31:00,2,Awake
82,04:32:00,2,Awake
83,04:33:00,1,Asleep
84,04:34:00,1,Asleep
85,04:35:00,2,Awake
86,04:36:00,2,Awake
87,04:37:00,1,Asleep
88,04:38:00,1,Asleep
89,04:39:00,1,Asleep
90,04:40:00,2,Awake
91,04:41:00,1,Asleep
92,04:42:00,1,Asleep
93,04:43:00,1,Asleep
94,04:44:00,2,Awake
95,04:45:00,1,Asleep
96,04:46:00,1,Asleep
97,04:47:00,1,Asleep
98,04:48:00,1,Asleep
99,04:49:00,1,Asleep
100,04:50:00,1,Asleep
101,04:51:00,1,Asleep
102,04:52:00,1,Asleep
103,04:53:00,1,Asleep
104,04:54:00,1,Asleep
105,04:55:00,1,Asleep
106,04:56:00,1,Asleep
107,04:57:00,1,Asleep
108,04:58:00,1,Asleep
109,04:59:00,1,Asleep
110,05:00:00,1,Asleep
111,05:01:00,1,Asleep
112,05:02:00,2,Awake
113,05:03:00,1,Asleep
114,05:04:00,1,Asleep
115,05:05:00,1,Asleep
116,05:06:00,1,Asleep
117,05:07:00,1,Asleep
118,05:08:00,1,Asleep
119,05:09:00,1,Asleep
120,05:10:00,1,Asleep
121,05:11:00,1,Asleep
122,05:12:00,1,Asleep
123,05:13:00,1,Asleep
124,05:14:00,1,Asleep
125,05:15:00,1,Asleep
126,05:16:00,1,Asleep
127,05:17:00,1,Asleep
128,05:18:00,1,Asleep
129,05:19:00,1,Asleep
130,05:20:00,1,Asleep
131,05:21:00,1,Asleep
132,05:22:00,1,Asleep
133,05:23:00,1,Asleep
134,05:24:00,1,Asleep
135,05:25:00,1,Asleep
136,05:26:00,1,Asleep
137,05:27:00,1,Asleep
138,05:28:00,1,Asleep
139,05:29:00,1,Asleep
140,05:30:00,1,Asleep
141,05:31:00,1,Asleep
142,05:32:00,1,Asleep
143,05:33:00,1,Asleep
144,05:34:00,1,Asleep
145,05:35:00,1,Asleep
146,05:36:00,1,Asleep
147,05:37:00,1,Asleep
148,05:38:00,1,Asleep
149,05:39:00,1,Asleep
150,05:40:00,1,Asleep
151,05:41:00,1,Asleep
152,05:42:00,1,Asleep
153,05:43:00,1,Asleep
154,05:44:00,1,Asleep
155,05:45:00,1,Asleep
156,05:46:00,1,Asleep
157,05:47:00,1,Asleep
158,05:48:00,1,Asleep
159,05:49:00,1,Asleep
160,05:50:00,1,Asleep
161,05:51:00,1,Asleep
162,05:52:00,1,Asleep
163,05:53:00,1,Asleep
164,05:54:00,1,Asleep
165,05:55:00,1,Asleep
166,05:56:00,1,Asleep
167,05:57:00,1,Asleep
168,05:58:00,1,Asleep
169,05:59:00,1,Asleep
170,06:00:00,1,Asleep
171,06:01:00,2,Awake
172,06:02:00,2,Awake
173,06:03:00,1,Asleep
174,06:04:00,1,Asleep
175,06:05:00,1,Asleep
176,06:06:00,1,Asleep
177,06:07:00,1,Asleep
178,06:08:00,1,Asleep
179,06:09:00,1,Asleep
180,06:10:00,1,Asleep
181,06:11:00,1,Asleep
182,06:12:00,1,Asleep
183,06:13:00,1,Asleep
184,06:14:00,2,Awake
185,06:15:00,2,Awake
186,06:16:00,2,Awake
187,06:17:00,2,Awake
188,06:18:00,3,Very Awake
189,06:19:00,3,Very Awake
190,06:20:00,1,Asleep
191,06:21:00,1,Asleep
192,06:22:00,1,Asleep
193,06:23:00,1,Asleep
194,06:24:00,1,Asleep
195,06:25:00,1,Asleep
196,06:26:00,1,Asleep
197,06:27:00,1,Asleep
198,06:28:00,1,Asleep
199,06:29:00,1,Asleep
200,06:30:00,2,Awake
201,06:31:00,2,Awake
202,06:32:00,3,Very Awake
203,06:33:00,1,Asleep
204,06:34:00,1,Asleep
205,06:35:00,1,Asleep
206,06:36:00,1,Asleep
207,06:37:00,1,Asleep
208,06:38:00,1,Asleep
209,06:39:00,1,Asleep
210,06:40:00,1,Asleep
211,06:41:00,1,Asleep
212,06:42:00,2,Awake
213,06:43:00,1,Asleep
214,06:44:00,1,Asleep
215,06:45:00,1,Asleep
216,06:46:00,1,Asleep
217,06:47:00,1,Asleep
218,06:48:00,1,Asleep
219,06:49:00,1,Asleep
220,06:50:00,1,Asleep
221,06:51:00,1,Asleep
222,06:52:00,1,Asleep
223,06:53:00,1,Asleep
224,06:54:00,1,Asleep
225,06:55:00,1,Asleep
226,06:56:00,1,Asleep
227,06:57:00,1,Asleep
228,06:58:00,1,Asleep
229,06:59:00,1,Asleep
230,07:00:00,1,Asleep
231,07:01:00,1,Asleep
232,07:02:00,1,Asleep
233,07:03:00,1,Asleep
234,07:04:00,1,Asleep
235,07:05:00,1,Asleep
236,07:06:00,1,Asleep
237,07:07:00,1,Asleep
238,07:08:00,1,Asleep
239,07:09:00,1,Asleep
240,07:10:00,1,Asleep
241,07:11:00,1,Asleep
242,07:12:00,1,Asleep
243,07:13:00,1,Asleep
244,07:14:00,1,Asleep
245,07:15:00,1,Asleep
246,07:16:00,1,Asleep
247,07:17:00,1,Asleep
248,07:18:00,1,Asleep
249,07:19:00,1,Asleep
250,07:20:00,1,Asleep
251,07:21:00,1,Asleep
252,07:22:00,1,Asleep
253,07:23:00,1,Asleep
254,07:24:00,1,Asleep
255,07:25:00,1,Asleep
256,07:26:00,1,Asleep
257,07:27:00,1,Asleep
258,07:28:00,2,Awake
259,07:29:00,1,Asleep
260,07:30:00,2,Awake
261,07:31:00,1,Asleep
262,07:32:00,1,Asleep
263,07:33:00,1,Asleep
264,07:34:00,2,Awake
265,07:35:00,2,Awake
266,07:36:00,1,Asleep
267,07:37:00,1,Asleep
268,07:38:00,1,Asleep
269,07:39:00,1,Asleep
270,07:40:00,1,Asleep
271,07:41:00,2,Awake
272,07:42:00,1,Asleep
273,07:43:00,1,Asleep
274,07:44:00,1,Asleep
275,07:45:00,1,Asleep
276,07:46:00,1,Asleep
277,07:47:00,1,Asleep
278,07:48:00,1,Asleep
279,07:49:00,1,Asleep
280,07:50:00,1,Asleep
281,07:51:00,1,Asleep
282,07:52:00,1,Asleep
283,07:53:00,2,Awake
284,07:54:00,2,Awake
285,07:55:00,1,Asleep
286,07:56:00,1,Asleep
287,07:57:00,2,Awake
288,07:58:00,2,Awake
289,07:59:00,1,Asleep
290,08:00:00,1,Asleep
291,08:01:00,1,Asleep
292,08:02:00,1,Asleep
293,08:03:00,1,Asleep
294,08:04:00,1,Asleep
295,08:05:00,1,Asleep
296,08:06:00,1,Asleep
297,08:07:00,1,Asleep
298,08:08:00,1,Asleep
299,08:09:00,1,Asleep
300,08:10:00,1,Asleep
301,08:11:00,1,Asleep
302,08:12:00,1,Asleep
303,08:13:00,2,Awake
304,08:14:00,1,Asleep
305,08:15:00,1,Asleep
306,08:16:00,1,Asleep
307,08:17:00,1,Asleep
308,08:18:00,1,Asleep
309,08:19:00,1,Asleep
310,08:20:00,1,Asleep
311,08:21:00,1,Asleep
312,08:22:00,2,Awake
313,08:23:00,1,Asleep
314,08:24:00,1,Asleep
315,08:25:00,1,Asleep
316,08:26:00,2,Awake
317,08:27:00,1,Asleep
318,08:28:00,1,Asleep
319,08:29:00,1,Asleep
320,08:30:00,1,Asleep
321,08:31:00,2,Awake
322,08:32:00,1,Asleep
323,08:33:00,1,Asleep
324,08:34:00,1,Asleep
325,08:35:00,1,Asleep
326,08:36:00,1,Asleep
327,08:37:00,1,Asleep
328,08:38:00,1,Asleep
329,08:39:00,1,Asleep
330,08:40:00,1,Asleep
331,08:41:00,1,Asleep
332,08:42:00,1,Asleep
333,08:43:00,1,Asleep
334,08:44:00,1,Asleep
335,08:45:00,1,Asleep
336,08:46:00,1,Asleep
337,08:47:00,1,Asleep
338,08:48:00,1,Asleep
339,08:49:00,1,Asleep
340,08:50:00,1,Asleep
341,08:51:00,1,Asleep
342,08:52:00,1,Asleep
343,08:53:00,1,Asleep
344,08:54:00,1,Asleep
345,08:55:00,1,Asleep
346,08:56:00,1,Asleep
347,08:57:00,1,Asleep
348,08:58:00,1,Asleep
349,08:59:00,1,Asleep
350,09:00:00,1,Asleep
351,09:01:00,1,Asleep
352,09:02:00,1,Asleep
353,09:03:00,1,Asleep
354,09:04:00,1,Asleep
355,09:05:00,1,Asleep
356,09:06:00,1,Asleep
357,09:07:00,1,Asleep
358,09:08:00,1,Asleep
359,09:09:00,1,Asleep
360,09:10:00,1,Asleep
361,09:11:00,1,Asleep
362,09:12:00,1,Asleep
363,09:13:00,1,Asleep
364,09:14:00,1,Asleep
365,09:15:00,1,Asleep
366,09:16:00,1,Asleep
367,09:17:00,1,Asleep
368,09:18:00,1,Asleep
369,09:19:00,1,Asleep
370,09:20:00,1,Asleep
371,09:21:00,1,Asleep
372,09:22:00,1,Asleep
373,09:23:00,1,Asleep
374,09:24:00,1,Asleep
375,09:25:00,1,Asleep
376,09:26:00,1,Asleep
377,09:27:00,1,Asleep
378,09:28:00,1,Asleep
379,09:29:00,1,Asleep
380,09:30:00,1,Asleep
381,09:31:00,1,Asleep
382,09:32:00,1,Asleep
383,09:33:00,1,Asleep
384,09:34:00,2,Awake
385,09:35:00,1,Asleep
386,09:36:00,1,Asleep
387,09:37:00,1,Asleep
388,09:38:00,2,Awake
389,09:39:00,1,Asleep
390,09:40:00,1,Asleep
391,09:41:00,1,Asleep
392,09:42:00,1,Asleep
393,09:43:00,1,Asleep
394,09:44:00,1,Asleep
395,09:45:00,1,Asleep
396,09:46:00,1,Asleep
397,09:47:00,1,Asleep
398,09:48:00,1,Asleep
399,09:49:00,1,Asleep
400,09:50:00,1,Asleep
401,09:51:00,1,Asleep
402,09:52:00,1,Asleep
403,09:53:00,1,Asleep
404,09:54:00,1,Asleep
405,09:55:00,2,Awake
406,09:56:00,1,Asleep
407,09:57:00,1,Asleep
408,09:58:00,2,Awake
409,09:59:00,2,Awake
410,10:00:00,2,Awake
411,10:01:00,1,Asleep
412,10:02:00,2,Awake
413,10:03:00,1,Asleep
414,10:04:00,2,Awake
415,10:05:00,1,Asleep
416,10:06:00,1,Asleep
417,10:07:00,1,Asleep
418,10:08:00,1,Asleep
419,10:09:00,2,Awake
420,10:10:00,2,Awake
421,10:11:00,1,Asleep
422,10:12:00,1,Asleep
