,Time,State,Interpreted
0,02:31:00,1,Asleep
1,02:32:00,1,Asleep
2,02:33:00,1,Asleep
3,02:34:00,1,Asleep
4,02:35:00,1,Asleep
5,02:36:00,1,Asleep
6,02:37:00,1,Asleep
7,02:38:00,1,Asleep
8,02:39:00,1,Asleep
9,02:40:00,2,Awake
10,02:41:00,2,Awake
11,02:42:00,2,Awake
12,02:43:00,2,Awake
13,02:44:00,3,Very Awake
14,02:45:00,3,Very Awake
15,02:46:00,3,Very Awake
16,02:47:00,2,Awake
17,02:48:00,2,Awake
18,02:49:00,1,Asleep
19,02:50:00,1,Asleep
20,02:51:00,1,Asleep
21,02:52:00,1,Asleep
22,02:53:00,1,Asleep
23,02:54:00,1,Asleep
24,02:55:00,1,Asleep
25,02:56:00,1,Asleep
26,02:57:00,1,Asleep
27,02:58:00,1,Asleep
28,02:59:00,1,Asleep
29,03:00:00,1,Asleep
30,03:01:00,1,Asleep
31,03:02:00,1,Asleep
32,03:03:00,1,Asleep
33,03:04:00,1,Asleep
34,03:05:00,1,Asleep
35,03:06:00,1,Asleep
36,03:07:00,1,Asleep
37,03:08:00,1,Asleep
38,03:09:00,1,Asleep
39,03:10:00,1,Asleep
40,03:11:00,1,Asleep
41,03:12:00,1,Asleep
42,03:13:00,1,Asleep
43,03:14:00,1,Asleep
44,03:15:00,1,Asleep
45,03:16:00,1,Asleep
46,03:17:00,1,Asleep
47,03:18:00,1,Asleep
48,03:19:00,1,Asleep
49,03:20:00,1,Asleep
50,03:21:00,1,Asleep
51,03:22:00,1,Asleep
52,03:23:00,1,Asleep
53,03:24:00,1,Asleep
54,03:25:00,1,Asleep
55,03:26:00,1,Asleep
56,03:27:00,1,Asleep
57,03:28:00,1,Asleep
58,03:29:00,1,Asleep
59,03:30:00,1,Asleep
60,03:31:00,1,Asleep
61,03:32:00,1,Asleep
62,03:33:00,1,Asleep
63,03:34:00,1,Asleep
64,03:35:00,1,Asleep
65,03:36:00,1,Asleep
66,03:37:00,2,Awake
67,03:38:00,1,Asleep
68,03:39:00,1,Asleep
69,03:40:00,1,Asleep
70,03:41:00,1,Asleep
71,03:42:00,1,Asleep
72,03:43:00,1,Asleep
73,03:44:00,1,Asleep
74,03:45:00,1,Asleep
75,03:46:00,1,Asleep
76,03:47:00,1,Asleep
77,03:48:00,1,Asleep
78,03:49:00,1,Asleep
79,03:50:00,1,Asleep
80,03:51:00,1,Asleep
81,03:52:00,1,Asleep
82,03:53:00,1,Asleep
83,03:54:00,1,Asleep
84,03:55:00,1,Asleep
85,03:56:00,1,Asleep
86,03:57:00,1,Asleep
87,03:58:00,1,Asleep
88,03:59:00,1,Asleep
89,04:00:00,1,Asleep
90,04:01:00,1,Asleep
91,04:02:00,1,Asleep
92,04:03:00,1,Asleep
93,04:04:00,1,Asleep
94,04:05:00,1,Asleep
95,04:06:00,1,Asleep
96,04:07:00,1,Asleep
97,04:08:00,1,Asleep
98,04:09:00,1,Asleep
99,04:10:00,1,Asleep
100,04:11:00,1,Asleep
101,04:12:00,1,Asleep
102,04:13:00,1,Asleep
103,04:14:00,1,Asleep
104,04:15:00,1,Asleep
105,04:16:00,1,Asleep
106,04:17:00,1,Asleep
107,04:18:00,1,Asleep
108,04:19:00,1,Asleep
109,04:20:00,1,Asleep
110,04:21:00,1,Asleep
111,04:22:00,1,Asleep
112,04:23:00,1,Asleep
113,04:24:00,1,Asleep
114,04:25:00,1,Asleep
115,04:26:00,1,Asleep
116,04:27:00,1,Asleep
117,04:28:00,1,Asleep
118,04:29:00,1,Asleep
119,04:30:00,2,Awake
120,04:31:00,1,Asleep
121,04:32:00,1,Asleep
122,04:33:00,1,Asleep
123,04:34:00,1,Asleep
124,04:35:00,1,Asleep
125,04:36:00,1,Asleep
126,04:37:00,1,Asleep
127,04:38:00,1,Asleep
128,04:39:00,1,Asleep
129,04:40:00,1,Asleep
130,04:41:00,1,Asleep
131,04:42:00,1,Asleep
132,04:43:00,1,Asleep
133,04:44:00,1,Asleep
134,04:45:00,1,Asleep
135,04:46:00,1,Asleep
136,04:47:00,1,Asleep
137,04:48:00,1,Asleep
138,04:49:00,1,Asleep
139,04:50:00,1,Asleep
140,04:51:00,1,Asleep
141,04:52:00,1,Asleep
142,04:53:00,1,Asleep
143,04:54:00,1,Asleep
144,04:55:00,1,Asleep
145,04:56:00,1,Asleep
146,04:57:00,1,Asleep
147,04:58:00,1,Asleep
148,04:59:00,1,Asleep
149,05:00:00,1,Asleep
150,05:01:00,1,Asleep
151,05:02:00,1,Asleep
152,05:03:00,1,Asleep
153,05:04:00,1,Asleep
154,05:05:00,1,Asleep
155,05:06:00,2,Awake
156,05:07:00,1,Asleep
157,05:08:00,1,Asleep
158,05:09:00,1,Asleep
159,05:10:00,1,Asleep
160,05:11:00,1,Asleep
161,05:12:00,1,Asleep
162,05:13:00,1,Asleep
163,05:14:00,1,Asleep
164,05:15:00,1,Asleep
165,05:16:00,2,Awake
166,05:17:00,2,Awake
167,05:18:00,3,Very Awake
168,05:19:00,3,Very Awake
169,05:20:00,2,Awake
170,05:21:00,1,Asleep
171,05:22:00,1,Asleep
172,05:23:00,1,Asleep
173,05:24:00,2,Awake
174,05:25:00,1,Asleep
175,05:26:00,1,Asleep
176,05:27:00,1,Asleep
177,05:28:00,1,Asleep
178,05:29:00,1,Asleep
179,05:30:00,1,Asleep
180,05:31:00,1,Asleep
181,05:32:00,1,Asleep
182,05:33:00,1,Asleep
183,05:34:00,1,Asleep
184,05:35:00,1,Asleep
185,05:36:00,1,Asleep
186,05:37:00,1,Asleep
187,05:38:00,1,Asleep
188,05:39:00,1,Asleep
189,05:40:00,1,Asleep
190,05:41:00,1,Asleep
191,05:42:00,1,Asleep
192,05:43:00,1,Asleep
193,05:44:00,1,Asleep
194,05:45:00,1,Asleep
195,05:46:00,1,Asleep
196,05:47:00,1,Asleep
197,05:48:00,1,Asleep
198,05:49:00,1,Asleep
199,05:50:00,1,Asleep
200,05:51:00,1,Asleep
201,05:52:00,1,Asleep
202,05:53:00,1,Asleep
203,05:54:00,1,Asleep
204,05:55:00,1,Asleep
205,05:56:00,1,Asleep
206,05:57:00,1,Asleep
207,05:58:00,1,Asleep
208,05:59:00,1,Asleep
209,06:00:00,1,Asleep
210,06:01:00,1,Asleep
211,06:02:00,1,Asleep
212,06:03:00,1,Asleep
213,06:04:00,1,Asleep
214,06:05:00,1,Asleep
215,06:06:00,1,Asleep
216,06:07:00,1,Asleep
217,06:08:00,1,Asleep
218,06:09:00,1,Asleep
219,06:10:00,1,Asleep
220,06:11:00,1,Asleep
221,06:12:00,1,Asleep
222,06:13:00,1,Asleep
223,06:14:00,1,Asleep
224,06:15:00,1,Asleep
225,06:16:00,1,Asleep
226,06:17:00,1,Asleep
227,06:18:00,1,Asleep
228,06:19:00,1,Asleep
229,06:20:00,1,Asleep
230,06:21:00,1,Asleep
231,06:22:00,1,Asleep
232,06:23:00,1,Asleep
233,06:24:00,1,Asleep
234,06:25:00,1,Asleep
235,06:26:00,1,Asleep
236,06:27:00,1,Asleep
237,06:28:00,1,Asleep
238,06:29:00,1,Asleep
239,06:30:00,1,Asleep
240,06:31:00,1,Asleep
241,06:32:00,1,Asleep
242,06:33:00,1,Asleep
243,06:34:00,1,Asleep
244,06:35:00,1,Asleep
245,06:36:00,1,Asleep
246,06:37:00,1,Asleep
247,06:38:00,1,Asleep
248,06:39:00,1,Asleep
249,06:40:00,2,Awake
250,06:41:00,1,Asleep
251,06:42:00,1,Asleep
252,06:43:00,1,Asleep
253,06:44:00,1,Asleep
254,06:45:00,1,Asleep
255,06:46:00,1,Asleep
256,06:47:00,1,Asleep
257,06:48:00,1,Asleep
258,06:49:00,1,Asleep
259,06:50:00,1,Asleep
260,06:51:00,1,Asleep
261,06:52:00,1,Asleep
262,06:53:00,2,Awake
263,06:54:00,1,Asleep
264,06:55:00,1,Asleep
265,06:56:00,1,Asleep
266,06:57:00,1,Asleep
267,06:58:00,1,Asleep
268,06:59:00,1,Asleep
269,07:00:00,1,Asleep
270,07:01:00,1,Asleep
271,07:02:00,1,Asleep
272,07:03:00,1,Asleep
273,07:04:00,1,Asleep
274,07:05:00,1,Asleep
275,07:06:00,1,Asleep
276,07:07:00,1,Asleep
277,07:08:00,1,Asleep
278,07:09:00,1,Asleep
279,07:10:00,1,Asleep
280,07:11:00,1,Asleep
281,07:12:00,1,Asleep
282,07:13:00,1,Asleep
283,07:14:00,1,Asleep
284,07:15:00,1,Asleep
285,07:16:00,1,Asleep
286,07:17:00,1,Asleep
287,07:18:00,1,Asleep
288,07:19:00,1,Asleep
289,07:20:00,1,Asleep
290,07:21:00,1,Asleep
291,07:22:00,1,Asleep
292,07:23:00,1,Asleep
293,07:24:00,1,Asleep
294,07:25:00,1,Asleep
295,07:26:00,1,Asleep
296,07:27:00,1,Asleep
297,07:28:00,1,Asleep
298,07:29:00,1,Asleep
299,07:30:00,1,Asleep
300,07:31:00,1,Asleep
301,07:32:00,1,Asleep
302,07:33:00,1,Asleep
303,07:34:00,1,Asleep
304,07:35:00,1,Asleep
305,07:36:00,1,Asleep
306,07:37:00,1,Asleep
307,07:38:00,1,Asleep
308,07:39:00,1,Asleep
309,07:40:00,1,Asleep
310,07:41:00,1,Asleep
311,07:42:00,1,Asleep
312,07:43:00,1,Asleep
313,07:44:00,1,Asleep
314,07:45:00,1,Asleep
315,07:46:00,1,Asleep
316,07:47:00,1,Asleep
317,07:48:00,1,Asleep
318,07:49:00,1,Asleep
319,07:50:00,1,Asleep
320,07:51:00,1,Asleep
321,07:52:00,1,Asleep
322,07:53:00,1,Asleep
323,07:54:00,1,Asleep
324,07:55:00,1,Asleep
325,07:56:00,1,Asleep
326,07:57:00,1,Asleep
327,07:58:00,1,Asleep
328,07:59:00,1,Asleep
329,08:00:00,1,Asleep
330,08:01:00,1,Asleep
331,08:02:00,1,Asleep
332,08:03:00,1,Asleep
333,08:04:00,1,Asleep
334,08:05:00,1,Asleep
335,08:06:00,1,Asleep
336,08:07:00,1,Asleep
337,08:08:00,1,Asleep
338,08:09:00,1,Asleep
339,08:10:00,1,Asleep
340,08:11:00,1,Asleep
341,08:12:00,1,Asleep
342,08:13:00,1,Asleep
343,08:14:00,1,Asleep
344,08:15:00,1,Asleep
345,08:16:00,1,Asleep
346,08:17:00,1,Asleep
347,08:18:00,1,Asleep
348,08:19:00,1,Asleep
349,08:20:00,1,Asleep
350,08:21:00,1,Asleep
351,08:22:00,1,Asleep
352,08:23:00,1,Asleep
353,08:24:00,1,Asleep
354,08:25:00,1,Asleep
355,08:26:00,1,Asleep
356,08:27:00,2,Awake
357,08:28:00,1,Asleep
358,08:29:00,1,Asleep
359,08:30:00,1,Asleep
360,08:31:00,1,Asleep
361,08:32:00,1,Asleep
362,08:33:00,1,Asleep
363,08:34:00,1,Asleep
364,08:35:00,1,Asleep
365,08:36:00,1,Asleep
366,08:37:00,1,Asleep
367,08:38:00,2,Awake
368,08:39:00,1,Asleep
369,08:40:00,2,Awake
370,08:41:00,1,Asleep
371,08:42:00,1,Asleep
372,08:43:00,1,Asleep
373,08:44:00,2,Awake
374,08:45:00,1,Asleep
375,08:46:00,1,Asleep
376,08:47:00,1,Asleep
377,08:48:00,1,Asleep
378,08:49:00,1,Asleep
379,08:50:00,1,Asleep
380,08:51:00,1,Asleep
381,08:52:00,1,Asleep
382,08:53:00,1,Asleep
383,08:54:00,1,Asleep
384,08:55:00,1,Asleep
