,Time,State,Interpreted
0,03:53:00,3,Very Awake
1,03:54:00,1,Asleep
2,03:55:00,1,Asleep
3,03:56:00,1,Asleep
4,03:57:00,1,Asleep
5,03:58:00,1,Asleep
6,03:59:00,1,Asleep
7,04:00:00,1,Asleep
8,04:01:00,1,Asleep
9,04:02:00,1,Asleep
10,04:03:00,2,Awake
11,04:04:00,2,Awake
12,04:05:00,1,Asleep
13,04:06:00,1,Asleep
14,04:07:00,2,Awake
15,04:08:00,1,Asleep
16,04:09:00,1,Asleep
17,04:10:00,1,Asleep
18,04:11:00,1,Asleep
19,04:12:00,1,Asleep
20,04:13:00,1,Asleep
21,04:14:00,1,Asleep
22,04:15:00,1,Asleep
23,04:16:00,1,Asleep
24,04:17:00,1,Asleep
25,04:18:00,1,Asleep
26,04:19:00,1,Asleep
27,04:20:00,1,Asleep
28,04:21:00,1,Asleep
29,04:22:00,1,Asleep
30,04:23:00,1,Asleep
31,04:24:00,1,Asleep
32,04:25:00,1,Asleep
33,04:26:00,1,Asleep
34,04:27:00,1,Asleep
35,04:28:00,1,Asleep
36,04:29:00,1,Asleep
37,04:30:00,1,Asleep
38,04:31:00,1,Asleep
39,04:32:00,1,Asleep
40,04:33:00,1,Asleep
41,04:34:00,1,Asleep
42,04:35:00,1,Asleep
43,04:36:00,1,Asleep
44,04:37:00,1,Asleep
45,04:38:00,1,Asleep
46,04:39:00,1,Asleep
47,04:40:00,1,Asleep
48,04:41:00,1,Asleep
49,04:42:00,1,Asleep
50,04:43:00,1,Asleep
51,04:44:00,1,Asleep
52,04:45:00,1,Asleep
53,04:46:00,1,Asleep
54,04:47:00,1,Asleep
55,04:48:00,1,Asleep
56,04:49:00,1,Asleep
57,04:50:00,1,Asleep
58,04:51:00,1,Asleep
59,04:52:00,1,Asleep
60,04:53:00,1,Asleep
61,04:54:00,1,Asleep
62,04:55:00,1,Asleep
63,04:56:00,1,Asleep
64,04:57:00,1,Asleep
65,04:58:00,1,Asleep
66,04:59:00,1,Asleep
67,05:00:00,1,Asleep
68,05:01:00,1,Asleep
69,05:02:00,1,Asleep
70,05:03:00,1,Asleep
71,05:04:00,1,Asleep
72,05:05:00,1,Asleep
73,05:06:00,2,Awake
74,05:07:00,2,Awake
75,05:08:00,1,Asleep
76,05:09:00,1,Asleep
77,05:10:00,1,Asleep
78,05:11:00,1,Asleep
79,05:12:00,1,Asleep
80,05:13:00,1,Asleep
81,05:14:00,1,Asleep
82,05:15:00,1,Asleep
83,05:16:00,1,Asleep
84,05:17:00,1,Asleep
85,05:18:00,1,Asleep
86,05:19:00,1,Asleep
87,05:20:00,1,Asleep
88,05:21:00,1,Asleep
89,05:22:00,1,Asleep
90,05:23:00,1,Asleep
91,05:24:00,1,Asleep
92,05:25:00,1,Asleep
93,05:26:00,1,Asleep
94,05:27:00,1,Asleep
95,05:28:00,1,Asleep
96,05:29:00,1,Asleep
97,05:30:00,1,Asleep
98,05:31:00,1,Asleep
99,05:32:00,1,Asleep
100,05:33:00,1,Asleep
101,05:34:00,1,Asleep
102,05:35:00,1,Asleep
103,05:36:00,1,Asleep
104,05:37:00,1,Asleep
105,05:38:00,1,Asleep
106,05:39:00,1,Asleep
107,05:40:00,1,Asleep
108,05:41:00,1,Asleep
109,05:42:00,1,Asleep
110,05:43:00,1,Asleep
111,05:44:00,1,Asleep
112,05:45:00,1,Asleep
113,05:46:00,1,Asleep
114,05:47:00,1,Asleep
115,05:48:00,1,Asleep
116,05:49:00,1,Asleep
117,05:50:00,1,Asleep
118,05:51:00,1,Asleep
119,05:52:00,1,Asleep
120,05:53:00,1,Asleep
121,05:54:00,1,Asleep
122,05:55:00,1,Asleep
123,05:56:00,1,Asleep
124,05:57:00,1,Asleep
125,05:58:00,1,Asleep
126,05:59:00,1,Asleep
127,06:00:00,1,Asleep
128,06:01:00,1,Asleep
129,06:02:00,1,Asleep
130,06:03:00,1,Asleep
131,06:04:00,1,Asleep
132,06:05:00,1,Asleep
133,06:06:00,1,Asleep
134,06:07:00,1,Asleep
135,06:08:00,1,Asleep
136,06:09:00,1,Asleep
137,06:10:00,1,Asleep
138,06:11:00,1,Asleep
139,06:12:00,1,Asleep
140,06:13:00,1,Asleep
141,06:14:00,1,Asleep
142,06:15:00,1,Asleep
143,06:16:00,1,Asleep
144,06:17:00,1,Asleep
145,06:18:00,1,Asleep
146,06:19:00,1,Asleep
147,06:20:00,1,Asleep
148,06:21:00,1,Asleep
149,06:22:00,1,Asleep
150,06:23:00,1,Asleep
151,06:24:00,1,Asleep
152,06:25:00,1,Asleep
153,06:26:00,1,Asleep
154,06:27:00,1,Asleep
155,06:28:00,1,Asleep
156,06:29:00,1,Asleep
157,06:30:00,1,Asleep
158,06:31:00,1,Asleep
159,06:32:00,1,Asleep
160,06:33:00,1,Asleep
161,06:34:00,1,Asleep
162,06:35:00,1,Asleep
163,06:36:00,1,Asleep
164,06:37:00,1,Asleep
165,06:38:00,1,Asleep
166,06:39:00,1,Asleep
167,06:40:00,1,Asleep
168,06:41:00,1,Asleep
169,06:42:00,1,Asleep
170,06:43:00,1,Asleep
171,06:44:00,1,Asleep
172,06:45:00,1,Asleep
173,06:46:00,1,Asleep
174,06:47:00,1,Asleep
175,06:48:00,1,Asleep
176,06:49:00,1,Asleep
177,06:50:00,1,Asleep
178,06:51:00,1,Asleep
179,06:52:00,1,Asleep
180,06:53:00,1,Asleep
181,06:54:00,1,Asleep
182,06:55:00,1,Asleep
183,06:56:00,1,Asleep
184,06:57:00,1,Asleep
185,06:58:00,1,Asleep
186,06:59:00,1,Asleep
187,07:00:00,1,Asleep
188,07:01:00,1,Asleep
189,07:02:00,1,Asleep
190,07:03:00,1,Asleep
191,07:04:00,1,Asleep
192,07:05:00,1,Asleep
193,07:06:00,1,Asleep
194,07:07:00,1,Asleep
195,07:08:00,1,Asleep
196,07:09:00,1,Asleep
197,07:10:00,1,Asleep
198,07:11:00,1,Asleep
199,07:12:00,1,Asleep
200,07:13:00,1,Asleep
201,07:14:00,1,Asleep
202,07:15:00,1,Asleep
203,07:16:00,1,Asleep
204,07:17:00,1,Asleep
205,07:18:00,1,Asleep
206,07:19:00,1,Asleep
207,07:20:00,1,Asleep
208,07:21:00,1,Asleep
209,07:22:00,1,Asleep
210,07:23:00,1,Asleep
211,07:24:00,1,Asleep
212,07:25:00,1,Asleep
213,07:26:00,1,Asleep
214,07:27:00,1,Asleep
215,07:28:00,1,Asleep
216,07:29:00,1,Asleep
217,07:30:00,1,Asleep
218,07:31:00,1,Asleep
219,07:32:00,1,Asleep
220,07:33:00,1,Asleep
221,07:34:00,1,Asleep
222,07:35:00,2,Awake
223,07:36:00,2,Awake
224,07:37:00,1,Asleep
225,07:38:00,2,Awake
226,07:39:00,2,Awake
227,07:40:00,2,Awake
228,07:41:00,1,Asleep
229,07:42:00,1,Asleep
230,07:43:00,1,Asleep
231,07:44:00,1,Asleep
232,07:45:00,1,Asleep
233,07:46:00,1,Asleep
234,07:47:00,1,Asleep
235,07:48:00,1,Asleep
236,07:49:00,1,Asleep
237,07:50:00,1,Asleep
238,07:51:00,2,Awake
239,07:52:00,2,Awake
240,07:53:00,1,Asleep
241,07:54:00,1,Asleep
242,07:55:00,1,Asleep
243,07:56:00,1,Asleep
244,07:57:00,2,Awake
245,07:58:00,2,Awake
246,07:59:00,2,Awake
247,08:00:00,1,Asleep
248,08:01:00,2,Awake
249,08:02:00,1,Asleep
250,08:03:00,2,Awake
251,08:04:00,1,Asleep
252,08:05:00,2,Awake
253,08:06:00,1,Asleep
254,08:07:00,1,Asleep
255,08:08:00,1,Asleep
256,08:09:00,1,Asleep
257,08:10:00,1,Asleep
258,08:11:00,1,Asleep
259,08:12:00,1,Asleep
260,08:13:00,1,Asleep
261,08:14:00,2,Awake
262,08:15:00,1,Asleep
263,08:16:00,1,Asleep
264,08:17:00,2,Awake
265,08:18:00,2,Awake
266,08:19:00,2,Awake
267,08:20:00,1,Asleep
268,08:21:00,2,Awake
269,08:22:00,1,Asleep
270,08:23:00,2,Awake
271,08:24:00,1,Asleep
272,08:25:00,2,Awake
273,08:26:00,1,Asleep
274,08:27:00,1,Asleep
275,08:28:00,2,Awake
276,08:29:00,1,Asleep
277,08:30:00,1,Asleep
278,08:31:00,1,Asleep
279,08:32:00,1,Asleep
280,08:33:00,1,Asleep
281,08:34:00,1,Asleep
282,08:35:00,1,Asleep
283,08:36:00,1,Asleep
284,08:37:00,1,Asleep
285,08:38:00,1,Asleep
286,08:39:00,1,Asleep
287,08:40:00,1,Asleep
288,08:41:00,1,Asleep
289,08:42:00,1,Asleep
290,08:43:00,1,Asleep
291,08:44:00,1,Asleep
292,08:45:00,1,Asleep
293,08:46:00,1,Asleep
294,08:47:00,1,Asleep
295,08:48:00,1,Asleep
296,08:49:00,1,Asleep
297,08:50:00,1,Asleep
298,08:51:00,1,Asleep
299,08:52:00,1,Asleep
300,08:53:00,1,Asleep
301,08:54:00,1,Asleep
302,08:55:00,1,Asleep
303,08:56:00,1,Asleep
304,08:57:00,1,Asleep
305,08:58:00,1,Asleep
306,08:59:00,1,Asleep
307,09:00:00,1,Asleep
308,09:01:00,1,Asleep
309,09:02:00,1,Asleep
310,09:03:00,1,Asleep
311,09:04:00,1,Asleep
312,09:05:00,1,Asleep
313,09:06:00,1,Asleep
314,09:07:00,1,Asleep
315,09:08:00,1,Asleep
316,09:09:00,1,Asleep
317,09:10:00,1,Asleep
318,09:11:00,1,Asleep
319,09:12:00,1,Asleep
320,09:13:00,1,Asleep
321,09:14:00,1,Asleep
322,09:15:00,1,Asleep
323,09:16:00,1,Asleep
324,09:17:00,1,Asleep
325,09:18:00,1,Asleep
326,09:19:00,1,Asleep
327,09:20:00,1,Asleep
328,09:21:00,1,Asleep
329,09:22:00,1,Asleep
330,09:23:00,1,Asleep
331,09:24:00,1,Asleep
332,09:25:00,1,Asleep
333,09:26:00,1,Asleep
334,09:27:00,2,Awake
335,09:28:00,1,Asleep
336,09:29:00,1,Asleep
337,09:30:00,1,Asleep
338,09:31:00,1,Asleep
339,09:32:00,1,Asleep
340,09:33:00,1,Asleep
341,09:34:00,1,Asleep
342,09:35:00,1,Asleep
343,09:36:00,1,Asleep
344,09:37:00,2,Awake
345,09:38:00,2,Awake
346,09:39:00,2,Awake
347,09:40:00,1,Asleep
348,09:41:00,2,Awake
349,09:42:00,2,Awake
350,09:43:00,2,Awake
351,09:44:00,1,Asleep
352,09:45:00,1,Asleep
353,09:46:00,1,Asleep
354,09:47:00,1,Asleep
355,09:48:00,1,Asleep
356,09:49:00,1,Asleep
357,09:50:00,1,Asleep
358,09:51:00,1,Asleep
359,09:52:00,2,Awake
360,09:53:00,1,Asleep
361,09:54:00,1,Asleep
362,09:55:00,1,Asleep
363,09:56:00,1,Asleep
