,Time,State,Interpreted
0,02:29:30,2,Awake
1,02:30:30,1,Asleep
2,02:31:30,1,Asleep
3,02:32:30,1,Asleep
4,02:33:30,1,Asleep
5,02:34:30,1,Asleep
6,02:35:30,1,Asleep
7,02:36:30,1,Asleep
8,02:37:30,1,Asleep
9,02:38:30,1,Asleep
10,02:39:30,1,Asleep
11,02:40:30,1,Asleep
12,02:41:30,1,Asleep
13,02:42:30,1,Asleep
14,02:43:30,1,Asleep
15,02:44:30,1,Asleep
16,02:45:30,1,Asleep
17,02:46:30,1,Asleep
18,02:47:30,1,Asleep
19,02:48:30,1,Asleep
20,02:49:30,1,Asleep
21,02:50:30,1,Asleep
22,02:51:30,1,Asleep
23,02:52:30,1,Asleep
24,02:53:30,1,Asleep
25,02:54:30,1,Asleep
26,02:55:30,1,Asleep
27,02:56:30,1,Asleep
28,02:57:30,1,Asleep
29,02:58:30,1,Asleep
30,02:59:30,1,Asleep
31,03:00:30,1,Asleep
32,03:01:30,1,Asleep
33,03:02:30,1,Asleep
34,03:03:30,1,Asleep
35,03:04:30,1,Asleep
36,03:05:30,1,Asleep
37,03:06:30,1,Asleep
38,03:07:30,1,Asleep
39,03:08:30,1,Asleep
40,03:09:30,1,Asleep
41,03:10:30,1,Asleep
42,03:11:30,1,Asleep
43,03:12:30,1,Asleep
44,03:13:30,1,Asleep
45,03:14:30,1,Asleep
46,03:15:30,1,Asleep
47,03:16:30,1,Asleep
48,03:17:30,1,Asleep
49,03:18:30,1,Asleep
50,03:19:30,1,Asleep
51,03:20:30,1,Asleep
52,03:21:30,1,Asleep
53,03:22:30,1,Asleep
54,03:23:30,1,Asleep
55,03:24:30,1,Asleep
56,03:25:30,1,Asleep
57,03:26:30,1,Asleep
58,03:27:30,1,Asleep
59,03:28:30,1,Asleep
60,03:29:30,1,Asleep
61,03:30:30,1,Asleep
62,03:31:30,1,Asleep
63,03:32:30,1,Asleep
64,03:33:30,1,Asleep
65,03:34:30,1,Asleep
66,03:35:30,1,Asleep
67,03:36:30,1,Asleep
68,03:37:30,1,Asleep
69,03:38:30,1,Asleep
70,03:39:30,1,Asleep
71,03:40:30,1,Asleep
72,03:41:30,1,Asleep
73,03:42:30,1,Asleep
74,03:43:30,1,Asleep
75,03:44:30,1,Asleep
76,03:45:30,1,Asleep
77,03:46:30,1,Asleep
78,03:47:30,1,Asleep
79,03:48:30,1,Asleep
80,03:49:30,1,Asleep
81,03:50:30,2,Awake
82,03:51:30,1,Asleep
83,03:52:30,1,Asleep
84,03:53:30,1,Asleep
85,03:54:30,1,Asleep
86,03:55:30,1,Asleep
87,03:56:30,1,Asleep
88,03:57:30,1,Asleep
89,03:58:30,1,Asleep
90,03:59:30,1,Asleep
91,04:00:30,1,Asleep
92,04:01:30,1,Asleep
93,04:02:30,1,Asleep
94,04:03:30,1,Asleep
95,04:04:30,1,Asleep
96,04:05:30,1,Asleep
97,04:06:30,1,Asleep
98,04:07:30,1,Asleep
99,04:08:30,1,Asleep
100,04:09:30,1,Asleep
101,04:10:30,1,Asleep
102,04:11:30,1,Asleep
103,04:12:30,1,Asleep
104,04:13:30,1,Asleep
105,04:14:30,1,Asleep
106,04:15:30,1,Asleep
107,04:16:30,1,Asleep
108,04:17:30,1,Asleep
109,04:18:30,1,Asleep
110,04:19:30,1,Asleep
111,04:20:30,1,Asleep
112,04:21:30,1,Asleep
113,04:22:30,1,Asleep
114,04:23:30,1,Asleep
115,04:24:30,1,Asleep
116,04:25:30,1,Asleep
117,04:26:30,1,Asleep
118,04:27:30,1,Asleep
119,04:28:30,1,Asleep
120,04:29:30,1,Asleep
121,04:30:30,1,Asleep
122,04:31:30,1,Asleep
123,04:32:30,1,Asleep
124,04:33:30,1,Asleep
125,04:34:30,1,Asleep
126,04:35:30,1,Asleep
127,04:36:30,1,Asleep
128,04:37:30,1,Asleep
129,04:38:30,1,Asleep
130,04:39:30,1,Asleep
131,04:40:30,1,Asleep
132,04:41:30,2,Awake
133,04:42:30,1,Asleep
134,04:43:30,1,Asleep
135,04:44:30,1,Asleep
136,04:45:30,1,Asleep
137,04:46:30,1,Asleep
138,04:47:30,1,Asleep
139,04:48:30,1,Asleep
140,04:49:30,1,Asleep
141,04:50:30,1,Asleep
142,04:51:30,2,Awake
143,04:52:30,1,Asleep
144,04:53:30,1,Asleep
145,04:54:30,1,Asleep
146,04:55:30,1,Asleep
147,04:56:30,1,Asleep
148,04:57:30,1,Asleep
149,04:58:30,1,Asleep
150,04:59:30,1,Asleep
151,05:00:30,1,Asleep
152,05:01:30,1,Asleep
153,05:02:30,1,Asleep
154,05:03:30,2,Awake
155,05:04:30,1,Asleep
156,05:05:30,1,Asleep
157,05:06:30,2,Awake
158,05:07:30,1,Asleep
159,05:08:30,1,Asleep
160,05:09:30,1,Asleep
161,05:10:30,1,Asleep
162,05:11:30,1,Asleep
163,05:12:30,1,Asleep
164,05:13:30,1,Asleep
165,05:14:30,1,Asleep
166,05:15:30,1,Asleep
167,05:16:30,1,Asleep
168,05:17:30,1,Asleep
169,05:18:30,1,Asleep
170,05:19:30,1,Asleep
171,05:20:30,1,Asleep
172,05:21:30,1,Asleep
173,05:22:30,1,Asleep
174,05:23:30,1,Asleep
175,05:24:30,1,Asleep
176,05:25:30,1,Asleep
177,05:26:30,1,Asleep
178,05:27:30,1,Asleep
179,05:28:30,1,Asleep
180,05:29:30,1,Asleep
181,05:30:30,1,Asleep
182,05:31:30,1,Asleep
183,05:32:30,1,Asleep
184,05:33:30,1,Asleep
185,05:34:30,1,Asleep
186,05:35:30,1,Asleep
187,05:36:30,1,Asleep
188,05:37:30,1,Asleep
189,05:38:30,1,Asleep
190,05:39:30,1,Asleep
191,05:40:30,1,Asleep
192,05:41:30,1,Asleep
193,05:42:30,1,Asleep
194,05:43:30,1,Asleep
195,05:44:30,1,Asleep
196,05:45:30,1,Asleep
197,05:46:30,1,Asleep
198,05:47:30,1,Asleep
199,05:48:30,1,Asleep
200,05:49:30,1,Asleep
201,05:50:30,1,Asleep
202,05:51:30,1,Asleep
203,05:52:30,1,Asleep
204,05:53:30,1,Asleep
205,05:54:30,1,Asleep
206,05:55:30,1,Asleep
207,05:56:30,1,Asleep
208,05:57:30,1,Asleep
209,05:58:30,1,Asleep
210,05:59:30,1,Asleep
211,06:00:30,1,Asleep
212,06:01:30,1,Asleep
213,06:02:30,1,Asleep
214,06:03:30,1,Asleep
215,06:04:30,1,Asleep
216,06:05:30,1,Asleep
217,06:06:30,1,Asleep
218,06:07:30,1,Asleep
219,06:08:30,1,Asleep
220,06:09:30,1,Asleep
221,06:10:30,1,Asleep
222,06:11:30,1,Asleep
223,06:12:30,1,Asleep
224,06:13:30,1,Asleep
225,06:14:30,1,Asleep
226,06:15:30,1,Asleep
227,06:16:30,1,Asleep
228,06:17:30,1,Asleep
229,06:18:30,1,Asleep
230,06:19:30,1,Asleep
231,06:20:30,1,Asleep
232,06:21:30,1,Asleep
233,06:22:30,1,Asleep
234,06:23:30,1,Asleep
235,06:24:30,1,Asleep
236,06:25:30,1,Asleep
237,06:26:30,1,Asleep
238,06:27:30,1,Asleep
239,06:28:30,1,Asleep
240,06:29:30,1,Asleep
241,06:30:30,1,Asleep
242,06:31:30,1,Asleep
243,06:32:30,1,Asleep
244,06:33:30,1,Asleep
245,06:34:30,1,Asleep
246,06:35:30,1,Asleep
247,06:36:30,1,Asleep
248,06:37:30,1,Asleep
249,06:38:30,1,Asleep
250,06:39:30,1,Asleep
251,06:40:30,1,Asleep
252,06:41:30,1,Asleep
253,06:42:30,1,Asleep
254,06:43:30,1,Asleep
255,06:44:30,1,Asleep
256,06:45:30,1,Asleep
257,06:46:30,1,Asleep
258,06:47:30,1,Asleep
259,06:48:30,1,Asleep
260,06:49:30,1,Asleep
261,06:50:30,1,Asleep
262,06:51:30,1,Asleep
263,06:52:30,1,Asleep
264,06:53:30,1,Asleep
265,06:54:30,1,Asleep
266,06:55:30,1,Asleep
267,06:56:30,1,Asleep
268,06:57:30,1,Asleep
269,06:58:30,1,Asleep
270,06:59:30,1,Asleep
271,07:00:30,1,Asleep
272,07:01:30,1,Asleep
273,07:02:30,1,Asleep
274,07:03:30,1,Asleep
275,07:04:30,1,Asleep
276,07:05:30,1,Asleep
277,07:06:30,1,Asleep
278,07:07:30,1,Asleep
279,07:08:30,1,Asleep
280,07:09:30,1,Asleep
281,07:10:30,1,Asleep
282,07:11:30,1,Asleep
283,07:12:30,1,Asleep
284,07:13:30,1,Asleep
285,07:14:30,1,Asleep
286,07:15:30,1,Asleep
287,07:16:30,1,Asleep
288,07:17:30,1,Asleep
289,07:18:30,2,Awake
290,07:19:30,1,Asleep
291,07:20:30,1,Asleep
292,07:21:30,1,Asleep
293,07:22:30,1,Asleep
294,07:23:30,1,Asleep
295,07:24:30,1,Asleep
296,07:25:30,1,Asleep
297,07:26:30,1,Asleep
298,07:27:30,1,Asleep
299,07:28:30,1,Asleep
300,07:29:30,1,Asleep
301,07:30:30,1,Asleep
302,07:31:30,1,Asleep
303,07:32:30,1,Asleep
304,07:33:30,1,Asleep
305,07:34:30,1,Asleep
306,07:35:30,1,Asleep
307,07:36:30,1,Asleep
308,07:37:30,1,Asleep
309,07:38:30,1,Asleep
310,07:39:30,1,Asleep
311,07:40:30,1,Asleep
312,07:41:30,2,Awake
313,07:42:30,1,Asleep
314,07:43:30,1,Asleep
315,07:44:30,1,Asleep
316,07:45:30,1,Asleep
317,07:46:30,1,Asleep
318,07:47:30,1,Asleep
319,07:48:30,1,Asleep
320,07:49:30,2,Awake
321,07:50:30,1,Asleep
322,07:51:30,1,Asleep
323,07:52:30,1,Asleep
324,07:53:30,2,Awake
325,07:54:30,2,Awake
326,07:55:30,1,Asleep
327,07:56:30,1,Asleep
328,07:57:30,2,Awake
329,07:58:30,1,Asleep
330,07:59:30,1,Asleep
331,08:00:30,1,Asleep
332,08:01:30,1,Asleep
333,08:02:30,1,Asleep
334,08:03:30,1,Asleep
335,08:04:30,1,Asleep
336,08:05:30,2,Awake
337,08:06:30,1,Asleep
338,08:07:30,1,Asleep
339,08:08:30,1,Asleep
340,08:09:30,1,Asleep
341,08:10:30,1,Asleep
342,08:11:30,1,Asleep
343,08:12:30,1,Asleep
344,08:13:30,1,Asleep
345,08:14:30,1,Asleep
346,08:15:30,1,Asleep
347,08:16:30,1,Asleep
348,08:17:30,1,Asleep
349,08:18:30,1,Asleep
350,08:19:30,1,Asleep
351,08:20:30,1,Asleep
352,08:21:30,1,Asleep
353,08:22:30,1,Asleep
354,08:23:30,1,Asleep
355,08:24:30,1,Asleep
356,08:25:30,1,Asleep
357,08:26:30,1,Asleep
358,08:27:30,1,Asleep
359,08:28:30,1,Asleep
360,08:29:30,1,Asleep
361,08:30:30,1,Asleep
362,08:31:30,1,Asleep
363,08:32:30,1,Asleep
364,08:33:30,1,Asleep
365,08:34:30,1,Asleep
366,08:35:30,1,Asleep
367,08:36:30,1,Asleep
368,08:37:30,1,Asleep
369,08:38:30,1,Asleep
370,08:39:30,1,Asleep
371,08:40:30,1,Asleep
372,08:41:30,1,Asleep
373,08:42:30,1,Asleep
374,08:43:30,1,Asleep
375,08:44:30,1,Asleep
376,08:45:30,2,Awake
377,08:46:30,1,Asleep
378,08:47:30,1,Asleep
379,08:48:30,1,Asleep
380,08:49:30,2,Awake
381,08:50:30,1,Asleep
382,08:51:30,1,Asleep
383,08:52:30,1,Asleep
384,08:53:30,1,Asleep
385,08:54:30,1,Asleep
386,08:55:30,1,Asleep
387,08:56:30,1,Asleep
388,08:57:30,1,Asleep
389,08:58:30,1,Asleep
390,08:59:30,1,Asleep
391,09:00:30,1,Asleep
392,09:01:30,1,Asleep
393,09:02:30,1,Asleep
394,09:03:30,1,Asleep
395,09:04:30,1,Asleep
396,09:05:30,1,Asleep
397,09:06:30,1,Asleep
398,09:07:30,1,Asleep
399,09:08:30,1,Asleep
400,09:09:30,1,Asleep
401,09:10:30,1,Asleep
402,09:11:30,1,Asleep
403,09:12:30,2,Awake
404,09:13:30,2,Awake
405,09:14:30,2,Awake
406,09:15:30,1,Asleep
407,09:16:30,2,Awake
408,09:17:30,2,Awake
409,09:18:30,2,Awake
410,09:19:30,1,Asleep
411,09:20:30,1,Asleep
412,09:21:30,1,Asleep
413,09:22:30,1,Asleep
414,09:23:30,1,Asleep
415,09:24:30,1,Asleep
416,09:25:30,1,Asleep
417,09:26:30,1,Asleep
418,09:27:30,1,Asleep
419,09:28:30,2,Awake
420,09:29:30,1,Asleep
421,09:30:30,1,Asleep
422,09:31:30,2,Awake
423,09:32:30,1,Asleep
424,09:33:30,1,Asleep
425,09:34:30,1,Asleep
426,09:35:30,1,Asleep
427,09:36:30,1,Asleep
428,09:37:30,1,Asleep
429,09:38:30,1,Asleep
430,09:39:30,1,Asleep
431,09:40:30,1,Asleep
432,09:41:30,1,Asleep
433,09:42:30,1,Asleep
434,09:43:30,1,Asleep
435,09:44:30,2,Awake
436,09:45:30,1,Asleep
437,09:46:30,1,Asleep
438,09:47:30,1,Asleep
439,09:48:30,1,Asleep
440,09:49:30,1,Asleep
441,09:50:30,1,Asleep
442,09:51:30,2,Awake
443,09:52:30,1,Asleep
444,09:53:30,1,Asleep
445,09:54:30,1,Asleep
446,09:55:30,1,Asleep
447,09:56:30,1,Asleep
448,09:57:30,1,Asleep
449,09:58:30,1,Asleep
450,09:59:30,1,Asleep
451,10:00:30,1,Asleep
452,10:01:30,1,Asleep
453,10:02:30,1,Asleep
454,10:03:30,1,Asleep
455,10:04:30,1,Asleep
456,10:05:30,1,Asleep
457,10:06:30,1,Asleep
458,10:07:30,1,Asleep
459,10:08:30,1,Asleep
460,10:09:30,1,Asleep
461,10:10:30,1,Asleep
462,10:11:30,1,Asleep
463,10:12:30,1,Asleep
464,10:13:30,1,Asleep
465,10:14:30,1,Asleep
466,10:15:30,1,Asleep
467,10:16:30,1,Asleep
468,10:17:30,1,Asleep
469,10:18:30,1,Asleep
470,10:19:30,1,Asleep
471,10:20:30,1,Asleep
472,10:21:30,1,Asleep
473,10:22:30,1,Asleep
474,10:23:30,1,Asleep
475,10:24:30,1,Asleep
476,10:25:30,1,Asleep
477,10:26:30,1,Asleep
478,10:27:30,1,Asleep
479,10:28:30,1,Asleep
480,10:29:30,2,Awake
481,10:30:30,1,Asleep
482,10:31:30,1,Asleep
483,10:32:30,1,Asleep
484,10:33:30,2,Awake
485,10:34:30,1,Asleep
486,10:35:30,1,Asleep
487,10:36:30,1,Asleep
488,10:37:30,1,Asleep
489,10:38:30,2,Awake
490,10:39:30,1,Asleep
491,10:40:30,1,Asleep
492,10:41:30,1,Asleep
493,10:42:30,2,Awake
494,10:43:30,1,Asleep
495,10:44:30,1,Asleep
496,10:45:30,1,Asleep
497,10:46:30,1,Asleep
498,10:47:30,1,Asleep
499,10:48:30,1,Asleep
500,10:49:30,1,Asleep
501,10:50:30,1,Asleep
502,10:51:30,1,Asleep
503,10:52:30,2,Awake
504,10:53:30,1,Asleep
505,10:54:30,1,Asleep
506,10:55:30,1,Asleep
507,10:56:30,1,Asleep
508,10:57:30,1,Asleep
509,10:58:30,1,Asleep
510,10:59:30,2,Awake
511,11:00:30,1,Asleep
512,11:01:30,1,Asleep
513,11:02:30,1,Asleep
514,11:03:30,1,Asleep
515,11:04:30,1,Asleep
516,11:05:30,2,Awake
517,11:06:30,1,Asleep
518,11:07:30,1,Asleep
519,11:08:30,1,Asleep
520,11:09:30,2,Awake
521,11:10:30,2,Awake
522,11:11:30,2,Awake
523,11:12:30,2,Awake
524,11:13:30,2,Awake
525,11:14:30,1,Asleep
526,11:15:30,2,Awake
527,11:16:30,1,Asleep
528,11:17:30,1,Asleep
529,11:18:30,1,Asleep
530,11:19:30,1,Asleep
531,11:20:30,1,Asleep
532,11:21:30,1,Asleep
533,11:22:30,1,Asleep
534,11:23:30,1,Asleep
535,11:24:30,1,Asleep
536,11:25:30,1,Asleep
537,11:26:30,1,Asleep
538,11:27:30,1,Asleep
539,11:28:30,1,Asleep
540,11:29:30,1,Asleep
541,11:30:30,2,Awake
